cycle,elapsed_s,bicrystal_loading_coordinate,stress_MPa,root_rate_per_s,rate_amplification,raw_hazard,Lambda,survival
1,5.791843873282636,0.10234274082176609,55.2044758983084,0.0716765115053649,0.9375752358137535,0.4075675442246415,0.32605403537971317,0.7217661854680865
1,5.795738859075022,0.1023649474889583,55.2057783163088,0.07167757795568597,0.9375891856752947,0.4078467252955071,0.3262773802364057,0.7216050007033917
1,5.799633844867408,0.10238714471658172,55.20708016148837,0.07167864388878503,0.9376031287712367,0.4081259105191743,0.32650072841533945,0.7214438495376547
1,5.803528830659794,0.10240933251590789,55.2083814345688,0.07167970930533688,0.9376170651104064,0.4084050998936298,0.3267240799149038,0.7212827319656044
1,5.8074238164521805,0.10243151089818503,55.209682136269834,0.07168077420601467,0.937630994701609,0.40868429341686296,0.32694743473349036,0.7211216479819683
1,5.811318802244567,0.10245367987464238,55.21098226731001,0.07168183859148924,0.9376449175536196,0.4089634910868658,0.32717079286949263,0.7209605975814724
1,5.815213788036953,0.10247583945648753,55.21228182840666,0.07168290246243211,0.9376588336752218,0.4092426929016329,0.3273941543213063,0.7207995807588411
1,5.819108773829339,0.10249798965490797,55.2135808202756,0.07168396581951147,0.9376727430751564,0.40952189885916146,0.32761751908732917,0.7206385975087979
1,5.8230037596217255,0.10252013048107045,55.21487924363146,0.07168502866339686,0.937686645762181,0.40980110895745125,0.327840887165961,0.7204776478260643
1,5.826898745414112,0.1025422619461207,55.21617709918754,0.07168609099475354,0.9377005417449977,0.41008032319450477,0.32806425855560384,0.7203167317053606
1,5.830793731206498,0.10256438406118495,55.21747438765578,0.07168715281424834,0.9377144310323294,0.410359541568327,0.3282876332546616,0.7201558491414057
1,5.834688716998884,0.10258649683736754,55.21877110974664,0.07168821412254416,0.937728313632847,0.41063876407692546,0.32851101126154036,0.7199950001289172
1,5.83858370279127,0.10260860028575203,55.2200672661702,0.07168927492030591,0.9377421895552481,0.4109179907183104,0.3287343925746483,0.719834184662611
1,5.842478688583657,0.10263069441740291,55.221362857634006,0.07169033520819447,0.9377560588081773,0.4111972214904946,0.32895777719239566,0.7196734027372017
1,5.846373674376043,0.10265277924336413,55.22265788484494,0.0716913949868708,0.9377699214002803,0.4114764563914934,0.32918116511319473,0.7195126543474026
1,5.850268660168429,0.10267485477465854,55.22395234850829,0.0716924542569944,0.937783777340184,0.41175569541932466,0.32940455633545973,0.7193519394879256
1,5.854163645960815,0.10269692102228967,55.225246249328386,0.0716935130192232,0.9377976266364946,0.4120349385720089,0.3296279508576071,0.7191912581534812
1,5.8580586317532015,0.10271897799724217,55.226539588007654,0.07169457127421366,0.9378114692977987,0.4123141858475691,0.3298513486780553,0.7190306103387781
1,5.861953617545588,0.10274102571047905,55.22783236524802,0.07169562902262254,0.9378253053326873,0.4125934372440309,0.3300747497952247,0.7188699960385245
1,5.865848603337974,0.10276306417294079,55.22912458175,0.07169668626510448,0.9378391347497236,0.41287269275942245,0.33029815420753794,0.7187094152474265
1,5.86974358913036,0.10278509339555175,55.23041623821212,0.07169774300231217,0.9378529575574452,0.41315195239177444,0.3305215619134195,0.7185488679601888
1,5.873638574922746,0.10280711338921367,55.23170733533215,0.07169879923489773,0.9378667737643823,0.41343121613912004,0.330744972911296,0.7183883541715154
1,5.877533560715133,0.10282912416481016,55.23299787380668,0.07169985496351243,0.9378805833790537,0.4137104839994951,0.3309683871995961,0.7182278738761081
1,5.881428546507519,0.10285112573320265,55.23428785433068,0.07170091018880588,0.9378943864099569,0.4139897559709379,0.3311918047767503,0.7180674270686679
1,5.885323532299905,0.10287311810523636,55.23557727759822,0.07170196491142714,0.937908182865582,0.4142690320514893,0.3314152256411914,0.7179070137438943
1,5.889218518092292,0.10289510129173407,55.236863140948955,0.0717030146283227,0.9379219138430699,0.41454831223042166,0.3316386497843373,0.7177466339015218
1,5.8931135038846785,0.10291707530349858,55.23814817128985,0.07170406342825607,0.9379356328260979,0.41482759649620066,0.33186207719696054,0.7175862875417434
1,5.897008489677065,0.10293904015131394,55.23943262744984,0.07170511169896658,0.9379493448865479,0.4151068848460098,0.33208550787680785,0.7174259746597438
1,5.900903475469451,0.10296099584594531,55.24071651013827,0.07170615944112897,0.9379630500332458,0.4153861772777892,0.33230894182223136,0.7172656952502735
