design_id,target_center_loss,baseline_Lambda,required_surface_mobility_multiplier,equivalent_root_rate_reduction_factor,remaining_site_count_fraction,effective_site_count_reduction_percent,equivalent_barrier_increase_eV,stress_MPa,A_sigma_MPa,A_Gamma,rTJ_over_W,baseline_elapsed_s,elapsed_s_at_required_mobility
Ro100_q0.75_L12W_r1.40_th160_km-10,0.05,25.333015416950413,36.54781571279802,36.54781571279802,0.027361416284306918,97.26385837156931,0.5675390333260719,39.12631784040868,0.9889534686313155,0.9985470592434004,25.542932608649306,166.00743345410197,4.542198493027063
Ro100_q0.75_L12W_r1.40_th160_km-10,0.1,59.48062714977492,85.81240581794572,85.81240581794572,0.0116533267010546,98.83466732989454,0.7021512743192955,40.19631962043047,2.058955248653106,0.9971863631012415,24.815727120114776,390.09533359987626,4.54590836699624
Ro120_q0.55_L8W_r1.60_th120_km-10,0.01,5.904905610854359,8.518978041697,8.518978041697,0.11738497212991966,88.26150278700804,0.3378618300937547,34.69375799170494,0.09076356601067204,0.9971406986935807,26.257820263685257,42.37689967209909,4.9744111869617536
Ro120_q0.55_L8W_r1.60_th120_km-10,0.02,12.046550170642643,17.37949819100624,17.37949819100624,0.057539060622446084,94.24609393775539,0.45030833855363006,34.785022691613285,0.18202826591901555,0.9942407996083753,26.114866455718285,86.58026957490094,4.981747379777949
Ro120_q0.55_L8W_r1.60_th120_km-10,0.05,32.1639073361903,46.40270960953389,46.40270960953389,0.02155046566062039,97.84495343393796,0.6051901857067652,35.06179759881598,0.4588031731217086,0.9852873073139412,25.681230986851084,232.2486257782256,5.005066034559927
Ro120_q0.55_L8W_r1.60_th120_km-10,0.1,73.84015303668845,106.52882260451256,106.52882260451256,0.009387130877363514,99.06128691226364,0.736256403783287,35.53279510461284,0.9298006789185678,0.9694522897524412,24.94175715542111,537.9282277701117,5.0496026767062485
Ro150_q0.65_L12W_r1.60_th140_km+5,0.01,10.655148533327582,15.372129948967014,15.372129948967014,0.06505279381060648,93.49472061893935,0.430951767417837,13.131212092083324,0.060200153892786545,0.9976969454069896,38.79315263556509,113.08287127933147,7.356356708845705
Ro150_q0.65_L12W_r1.60_th140_km+5,0.02,21.69495867666858,31.29920929512075,31.29920929512075,0.03194968890654661,96.80503110934534,0.5430894554282918,13.192251369887007,0.12123943169646978,0.99537586385176,38.585196420550986,230.5200444135733,7.365043705736975
Ro150_q0.65_L12W_r1.60_th140_km+5,0.05,57.58475047357284,83.07723393905192,83.07723393905192,0.012036991996310704,98.79630080036893,0.6970425889408609,13.380603903325634,0.30959196513509646,0.9883004598597008,37.95449192165864,614.1327530793435,7.3923110334883155
Ro150_q0.65_L12W_r1.60_th140_km+5,0.1,130.85827431180206,188.78858340892447,188.78858340892447,0.005296930470811127,99.47030695291889,0.826500061093169,13.713278232377371,0.6422662941868342,0.9761080510919709,36.87935620455569,1405.1676707229917,7.443075451651311
Ro150_q0.65_L12W_r1.60_th160_km-5,0.01,16.89464842676675,24.373825502858917,24.373825502858917,0.041027617920818604,95.89723820791814,0.5036488337040438,24.058708761356467,0.12009812650632057,0.9988779985681301,38.79315263556509,114.30601137856047,4.689703360892323
Ro150_q0.65_L12W_r1.60_th160_km-5,0.02,34.449642737703854,49.70032873808184,49.70032873808184,0.02012059125946527,97.98794087405346,0.6160175682292991,24.18063104860491,0.24202041375476213,0.9977509530736753,38.585196420550986,233.2136190173868,4.692395904389496
Ro150_q0.65_L12W_r1.60_th160_km-5,0.05,91.89252670945308,132.57289257848458,132.57289257848458,0.007543020149522567,99.24569798504774,0.7707502959883149,24.55781739161848,0.6192067567683353,0.9943386868978893,37.95449192165864,623.1985961444002,4.700799567871387
Ro150_q0.65_L12W_r1.60_th160_km-5,0.1,211.1300346032011,304.5962539047535,304.5962539047535,0.0032830344667098155,99.67169655332901,0.9019421753025524,25.227645557163363,1.289034922313217,0.9885421139538846,36.87935620455569,1436.559200825586,4.716273369779507
Ro150_q0.65_L12W_r1.60_th170_km-10,0.01,20.477320185129845,29.542528281782296,29.542528281782296,0.03384950639504542,96.61504936049545,0.5339798074267359,29.310532145698684,0.1529417977805103,0.9994239823568083,38.79315263556509,116.64396067900502,3.948340492947407
Ro150_q0.65_L12W_r1.60_th170_km-10,0.02,41.80315544494934,60.30920505393888,60.30920505393888,0.016581216733094522,98.34187832669055,0.6465302505451417,29.465905980682948,0.30831563276477425,0.9988511547055355,38.585196420550986,238.1911325480799,3.9494987926809575
