design_id,Ro_nm,Rc_over_Ro,Rc_nm,Lc_nm,Lc_over_W,rTJ_over_Rc,rTJ0_nm,theta_center0_deg,theta_outer0_deg,center_curvature0_per_um,outer_curvature0_per_um,kRc_center,kRo_outer,sigma0_MPa,sigma20_MPa,max_sigma_MPa,available_stress_increase_MPa,delta_sigma_curvature_MPa,delta_sigma_angle_MPa,delta_sigma_radius_MPa,minimum_dsigma_dx_MPa,tau0_s,tau20_s,x_to_20MPa,x_to_25MPa,x_to_30MPa,x_to_tau3s,resolution_margin,rTJ20_over_W,rTJ20_nm,x_contact_zero,x_to_6W,loss_fraction_margin_after_20pct_to_6W
Ro120_q0.45_L12W_r1.00_th135_k0.25,120.00000000000001,0.45,54.00000000000001,48.00000000000001,12.0,1.0,54.00000000000001,135.0,135.0,4.629629629629629,2.083333333333333,0.25,0.25,47.970159213589994,54.674915398671075,54.674915398671075,6.704756185081081,-1.4768054964760255,-1.6911873581786048,9.872725302501792,27.688382201534566,10.006962344354557,10.32591170331074,0.0,0.0,0.0,nan,1.5,11.29491035821002,45.179641432840086,0.6666666666666666,0.5349794238683128,0.33497942386831275
Ro120_q0.55_L10W_r0.80_th170_k0.75,120.00000000000001,0.55,66.00000000000001,40.0,10.0,0.8,52.80000000000001,170.0,170.0,11.363636363636362,6.249999999999999,0.75,0.75,47.79515330066735,84.49962899453175,84.49962899453175,36.704475693864396,-7.11846403946131,-0.6694365948042764,44.50660572681655,81.26027029966384,10.275449726999259,9.185387766299492,0.0,0.0,0.0,nan,1.2298373876248845,7.379024325749307,29.51609730299723,0.29090909090909095,0.2308039068369647,0.030803906836964684
Ro120_q0.65_L12W_r0.80_th150_k0.50,120.00000000000001,0.65,78.00000000000001,48.00000000000001,12.0,0.8,62.40000000000001,150.0,150.0,6.410256410256409,4.166666666666666,0.5,0.5,41.150280110051355,65.7408665365307,65.7408665365307,24.590586426479348,-5.501143180494898,-4.149129125911137,34.24270516114625,62.68029920919209,10.196347825867146,10.564152266219155,0.0,0.0,0.0,nan,1.4774696838401347,8.864818103040808,35.45927241216324,0.2953846153846154,0.2516886663632226,0.05168866636322261
Ro120_q0.65_L12W_r0.80_th170_k0.75,120.00000000000001,0.65,78.00000000000001,48.00000000000001,12.0,0.8,62.40000000000001,170.0,170.0,9.615384615384613,6.249999999999999,0.75,0.75,39.96128356210314,69.5492100455198,69.5492100455198,29.58792648341666,-6.143174292850984,-0.5337664655733383,36.275323232353,66.92194205834812,10.508566801815068,9.849636318163844,0.0,0.0,0.0,nan,1.4774696838401347,8.864818103040808,35.45927241216324,0.2953846153846154,0.2516886663632226,0.05168866636322261
Ro120_q0.75_L12W_r0.80_th170_k0.75,120.00000000000001,0.75,90.00000000000001,48.00000000000001,12.0,0.8,72.00000000000001,170.0,170.0,8.333333333333332,6.249999999999999,0.75,0.75,34.216445753822725,71.82057167363759,71.82057167363759,37.60412591981486,-8.47530438009612,-0.906175767975101,47.01592880807916,66.12691873148754,10.625158189604715,9.958854421861014,0.0,0.0,0.0,nan,1.4031215200402278,8.418729120241368,33.67491648096547,0.256,0.22755555555555557,0.027555555555555555
Ro120_q0.75_L24W_r0.60_th165_k0.75,120.00000000000001,0.75,90.00000000000001,96.00000000000001,24.0,0.6,54.00000000000001,165.0,165.0,8.333333333333332,6.249999999999999,0.75,0.75,47.78860340965612,84.09379312092223,84.09379312092223,36.30518971126611,-6.3916061832889115,-1.4953073456005734,44.20506569879187,80.89711261600102,10.048613767360784,9.141747498498619,0.0,0.0,0.0,nan,1.243734296383275,7.46240577829965,29.849623113198604,0.288,0.2311111111111111,0.03111111111111109
Ro120_q0.75_L24W_r1.00_th170_k0.50,120.00000000000001,0.75,90.00000000000001,96.00000000000001,24.0,1.0,90.00000000000001,170.0,170.0,5.5555555555555545,4.166666666666666,0.5,0.5,28.345378825280406,32.67098422753983,32.67098422753983,4.325605402259427,-0.7630416257087973,-0.0452856674724835,5.134007929424525,17.52231005148974,10.124946291527268,10.258089009172323,0.0,0.0,0.08675476118689514,nan,3.0,19.48557158514987,77.94228634059948,0.7999999999999998,0.7431111111111111,0.5431111111111111
Ro120_q0.85_L10W_r1.00_th135_k0.25,120.00000000000001,0.85,102.00000000000001,40.0,10.0,1.0,102.00000000000001,135.0,135.0,2.4509803921568625,2.083333333333333,0.25,0.25,24.905770564057445,35.96143688347925,35.96143688347925,11.055666319421807,-3.7252758601330376,-4.804436864549443,19.58297093173481,32.761693765243564,10.00183119275513,12.632034777812148,0.0,0.002848416172475838,0.11859426035766206,nan,1.25,14.42497833620557,57.69991334482228,0.29411764705882354,0.2778343171178506,0.0778343171178506
Ro120_q0.85_L12W_r0.80_th165_k0.50,120.00000000000001,0.85,102.00000000000001,48.00000000000001,12.0,0.8,81.60000000000002,165.0,165.0,4.901960784313725,4.166666666666666,0.5,0.5,31.91586500148812,86.17144879476564,86.17144879476564,54.25558379327752,-10.606636401885472,-4.679662481643527,69.65035977502058,68.8674462655247,10.01656558637097,9.55905463871964,0.0,0.0,0.0,nan,1.150905440656761,6.905432643940566,27.621730575762264,0.2258823529411765,0.20634235701200898,0.00634235701200897
Ro120_q0.85_L12W_r0.80_th170_k0.75,120.00000000000001,0.85,102.00000000000001,48.00000000000001,12.0,0.8,81.60000000000002,170.0,170.0,7.352941176470587,6.249999999999999,0.75,0.75,29.82333448866711,84.76609450516963,84.76609450516963,54.94276001650252,-13.683912322861245,-2.2235057150498596,70.99939381334052,65.33210342737486,10.66549060349668,9.773817787330145,0.0,0.0,0.002659613176861416,nan,1.150905440656761,6.905432643940566,27.621730575762264,0.2258823529411765,0.20634235701200898,0.00634235701200897
Ro120_q0.85_L12W_r1.00_th135_k0.25,120.00000000000001,0.85,102.00000000000001,48.00000000000001,12.0,1.0,102.00000000000001,135.0,135.0,2.4509803921568625,2.083333333333333,0.25,0.25,24.905770564057445,33.142060425687866,33.142060425687866,8.236289861630421,-2.4083521165382775,-2.8876855324897845,13.531744177488406,27.300495631825648,10.00183119275513,11.746997708494659,0.0,0.003423723854368899,0.14231542240995607,nan,1.5,16.786155009411775,67.1446200376471,0.35294117647058826,0.3334011805414207,0.1334011805414207
