r_TJ_nm,r_TJ_over_W,maximum_convex_contact_stress_MPa,minimum_two_contact_wait_s
49.0,12.25,61.224489795918366,8.33552744419291
49.5,12.375,60.60606060606061,8.352250433210049
50.0,12.5,59.99999999999999,8.368467786784164
50.5,12.625,59.405940594059395,8.384191749977122
51.0,12.75,58.8235294117647,8.399434221495454
51.5,12.875,58.25242718446601,8.414206765205927
52.0,13.0,57.692307692307686,8.428520621212673
52.5,13.125,57.14285714285714,8.4423867165151
53.0,13.25,56.60377358490565,8.455815675263247
53.5,13.375,56.074766355140184,8.468817828628147
54.0,13.5,55.55555555555555,8.481403224302975
54.5,13.625,55.04587155963302,8.493581635650365
55.0,13.75,54.54545454545454,8.50536257051036
55.5,13.875,54.05405405405405,8.516755279683709
56.0,14.0,53.57142857142856,8.527768765103138
56.5,14.125,53.09734513274336,8.538411787705547
57.0,14.25,52.63157894736842,8.548692875018002
57.5,14.375,52.17391304347826,8.55862032846835
58.0,14.5,51.724137931034484,8.568202230432211
58.5,14.625,51.28205128205128,8.577446451026711
59.0,14.75,50.84745762711864,8.586360654661512
59.5,14.875,50.42016806722688,8.594952306356538
60.0,15.0,49.99999999999999,8.603228677835947
60.5,15.125,49.58677685950413,8.611196853406899
61.0,15.25,49.18032786885246,8.61886373563259
61.5,15.375,48.78048780487805,8.626236050806607
62.0,15.5,48.387096774193544,8.633320354237009
62.5,15.625,47.99999999999999,8.640123035347312
63.0,15.75,47.61904761904761,8.646650322602174
63.5,15.875,47.24409448818897,8.652908288263797
64.0,16.0,46.875,8.658902852985804
64.5,16.125,46.51162790697674,8.664639790251341
65.0,16.25,46.15384615384615,8.670124730660886
65.5,16.375,45.80152671755725,8.675363166075707
66.0,16.5,45.454545454545446,8.680360453622333
66.5,16.625,45.11278195488721,8.685121819563749
67.0,16.75,44.776119402985074,8.689652363041585
67.5,16.875,44.444444444444436,8.693957059694675
68.0,17.0,44.11764705882352,8.698040765159126
68.5,17.125,43.7956204379562,8.701908218452884
69.0,17.25,43.47826086956521,8.705564045250197
69.5,17.375,43.165467625899275,8.70901276105032
70.0,17.5,42.85714285714285,8.712258774242875
70.5,17.625,42.5531914893617,8.715306389075474
71.0,17.75,42.25352112676056,8.718159808525602
71.5,17.875,41.95804195804196,8.720823137081393
72.0,18.0,41.666666666666664,8.723300383433886
72.5,18.125,41.37931034482758,8.725595463084344
73.0,18.25,41.0958904109589,8.727712200869437
73.5,18.375,40.816326530612244,8.729654333407213
74.0,18.5,40.54054054054054,8.731425511467368
74.5,18.625,40.26845637583892,8.733029302266798
75.0,18.75,39.99999999999999,8.734469191695506
75.5,18.875,39.73509933774834,8.73574858647314
