design_id,Ro_nm,Rc_over_Ro,Rc_nm,Lc_nm,Lc_over_W,rTJ_over_Rc,rTJ0_nm,theta_center0_deg,theta_outer0_deg,center_curvature0_per_um,outer_curvature0_per_um,kRc_center,kRo_outer,sigma0_MPa,sigma20_MPa,max_sigma_MPa,available_stress_increase_MPa,delta_sigma_curvature_MPa,delta_sigma_angle_MPa,delta_sigma_radius_MPa,minimum_dsigma_dx_MPa,tau0_s,tau20_s,x_to_20MPa,x_to_25MPa,x_to_30MPa,x_to_tau3s,resolution_margin,rTJ20_over_W,rTJ20_nm,x_contact_zero,x_to_6W,loss_fraction_margin_after_20pct_to_6W
Ro150_q0.55_L24W_r0.60_th135_k0.25,150.00000000000003,0.55,82.50000000000001,96.00000000000001,24.0,0.6,49.50000000000001,135.0,135.0,3.03030303030303,1.6666666666666665,0.25,0.25,53.64421409159313,74.45464985468423,74.45464985468423,20.810435763091107,-6.062062447825486,-8.09129586347046,34.96053949945411,65.26979563786848,9.632623120000607,10.73237920421556,0.0,0.0,0.0,nan,1.243374367480821,7.460246204884927,29.84098481953971,0.3141818181818181,0.24032456799398938,0.04032456799398937
Ro150_q0.55_L24W_r0.60_th135_k0.50,150.00000000000003,0.55,82.50000000000001,96.00000000000001,24.0,0.6,49.50000000000001,135.0,135.0,6.06060606060606,3.333333333333333,0.5,0.5,51.295729243108276,71.68880116790477,71.68880116790477,20.393071924796494,-6.479050435277272,-8.09129586347046,34.96053949945411,63.174317883639176,10.133944344674052,11.264603596683472,0.0,0.0,0.0,nan,1.243374367480821,7.460246204884927,29.84098481953971,0.3141818181818181,0.24032456799398938,0.04032456799398937
Ro150_q0.55_L24W_r0.60_th135_k0.75,150.00000000000003,0.55,82.50000000000001,96.00000000000001,24.0,0.6,49.50000000000001,135.0,135.0,9.09090909090909,4.999999999999999,0.75,0.75,48.947244394623425,68.92295248112532,68.92295248112532,19.975708086501896,-6.896038422729051,-8.09129586347046,34.96053949945411,61.078840129410764,10.677150610265734,11.837602690050835,0.0,0.0,0.0,nan,1.243374367480821,7.460246204884927,29.84098481953971,0.3141818181818181,0.24032456799398938,0.04032456799398937
Ro150_q0.55_L24W_r0.60_th150_k0.00,150.00000000000003,0.55,82.50000000000001,96.00000000000001,24.0,0.6,49.50000000000001,150.0,150.0,0.0,0.0,0.0,0.0,58.54095916903444,88.65141640080743,88.65141640080743,30.110457231772997,-3.2209887473808885,-4.262346797731988,37.596089041250465,82.76331804019208,8.703323956487848,8.512798314838603,0.0,0.0,0.0,nan,1.243374367480821,7.460246204884927,29.84098481953971,0.3141818181818181,0.24032456799398938,0.04032456799398937
Ro150_q0.55_L24W_r0.60_th150_k0.25,150.00000000000003,0.55,82.50000000000001,96.00000000000001,24.0,0.6,49.50000000000001,150.0,150.0,3.03030303030303,1.6666666666666665,0.25,0.25,56.192474320549586,85.3530034110847,85.3530034110847,29.160529090535114,-4.171030144553157,-4.262346797731988,37.596089041250465,79.77750724886296,9.130889662856164,8.963128441180537,0.0,0.0,0.0,nan,1.243374367480821,7.460246204884927,29.84098481953971,0.3141818181818181,0.24032456799398938,0.04032456799398937
Ro150_q0.55_L24W_r0.60_th150_k0.50,150.00000000000003,0.55,82.50000000000001,96.00000000000001,24.0,0.6,49.50000000000001,150.0,150.0,6.06060606060606,3.333333333333333,0.5,0.5,53.84398947206474,82.05459042136195,82.05459042136195,28.21060094929721,-5.1210715417254296,-4.262346797731988,37.596089041250465,76.79169645753316,9.59176383351818,9.449695697028229,0.0,0.0,0.0,nan,1.243374367480821,7.460246204884927,29.84098481953971,0.3141818181818181,0.24032456799398938,0.04032456799398937
Ro150_q0.55_L24W_r0.60_th150_k0.75,150.00000000000003,0.55,82.50000000000001,96.00000000000001,24.0,0.6,49.50000000000001,150.0,150.0,9.09090909090909,4.999999999999999,0.75,0.75,51.49550462357989,78.75617743163922,78.75617743163922,27.260672808059326,-6.071112938897702,-4.262346797731988,37.596089041250465,73.80588566620462,10.08973617028738,9.976620581343106,0.0,0.0,0.0,nan,1.243374367480821,7.460246204884927,29.84098481953971,0.3141818181818181,0.24032456799398938,0.04032456799398937
Ro150_q0.55_L24W_r0.60_th165_k0.00,150.00000000000003,0.55,82.50000000000001,96.00000000000001,24.0,0.6,49.50000000000001,165.0,165.0,0.0,0.0,0.0,0.0,60.08756735598849,97.26936474470068,97.26936474470068,37.18179738871219,-0.9506182666810856,-1.1893656890679565,39.332372525504866,92.90582691011348,8.438326436718267,7.482438706121013,0.0,0.0,0.0,nan,1.243374367480821,7.460246204884927,29.84098481953971,0.3141818181818181,0.24032456799398938,0.04032456799398937
Ro150_q0.55_L24W_r0.60_th165_k0.25,150.00000000000003,0.55,82.50000000000001,96.00000000000001,24.0,0.6,49.50000000000001,165.0,165.0,3.03030303030303,1.6666666666666665,0.25,0.25,57.73908250750364,93.54181119975833,93.54181119975833,35.80272869225469,-2.3304860596956574,-1.1893656890679565,39.332372525504866,89.36043979431535,8.845783081432979,7.904251420352975,0.0,0.0,0.0,nan,1.243374367480821,7.460246204884927,29.84098481953971,0.3141818181818181,0.24032456799398938,0.04032456799398937
Ro150_q0.55_L24W_r0.60_th165_k0.50,150.00000000000003,0.55,82.50000000000001,96.00000000000001,24.0,0.6,49.50000000000001,165.0,165.0,6.06060606060606,3.333333333333333,0.5,0.5,55.390597659018795,89.814257654816,89.814257654816,34.42365999579721,-3.710353852710229,-1.1893656890679565,39.332372525504866,85.81505267851718,9.28432830095999,8.361990115050741,0.0,0.0,0.0,nan,1.243374367480821,7.460246204884927,29.84098481953971,0.3141818181818181,0.24032456799398938,0.04032456799398937
