total_volume_m3,mirror_error,energy_J,topology_stop,V_left_m3,R_left_m,mu_left_Pa,centroid_left_m,V_center_m3,R_center_m,mu_center_Pa,centroid_center_m,V_right_m3,R_right_m,mu_right_Pa,centroid_right_m,LEFT_gb_z_m,LEFT_tj_z_m,LEFT_tj_r_m,LEFT_neck_r_m,LEFT_psi_deg,LEFT_kappa_per_m,LEFT_CC_force_N,LEFT_CC_stress_Pa,LEFT_PF_geometric_stress_Pa,RIGHT_gb_z_m,RIGHT_tj_z_m,RIGHT_tj_r_m,RIGHT_neck_r_m,RIGHT_psi_deg,RIGHT_kappa_per_m,RIGHT_CC_force_N,RIGHT_CC_stress_Pa,RIGHT_PF_geometric_stress_Pa,t_model,t_s,step,mu_projected_left_Pa,mu_projected_center_Pa,mu_projected_right_Pa,delta_mu_projected_Pa,center_GB_separation_over_W,center_solid_core_f
1.0117533979883671e-20,8.881784197001252e-16,2.593415851392056e-13,False,4.1992925741355565e-21,1.0008350544879523e-07,20274270.897176553,-7.337739128741892e-08,1.7189488316125596e-21,7.431185685037169e-08,18782688.989674527,7.297617600732821e-25,4.199292574135556e-21,1.0008350544879523e-07,20274270.89717656,7.337739128741894e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.150564459547908e-07,1.150564459547908e-07,158.09649435316115,19315287.18951827,-9.353631392829227e-08,-2249098.4648203664,14817090.259877536,2.0266448305180202e-08,2.0266448305180202e-08,1.150564459547908e-07,1.150564459547908e-07,158.096494353175,19315287.1894973,-9.35363139274036e-08,-2249098.464798998,14817090.259899303,0.0015608167823967342,2.431743676783538e-05,10,17084804.857684232,17047703.56840539,17084804.85768423,-37101.28927884251,10.1332241525901,1.0
1.0117533979883671e-20,3.774758283725532e-15,2.5934132533541057e-13,False,4.199292574149754e-21,1.0008350544890802e-07,20274122.969431303,-7.337739053839612e-08,1.718948831584163e-21,7.431185684996248e-08,18782984.00580818,7.297617600853375e-25,4.199292574149754e-21,1.0008350544890802e-07,20274122.969431303,7.337739053839612e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.1505905149641574e-07,1.1505905149641575e-07,158.02498901253193,19327408.973116152,-9.414661351127866e-08,-2263670.708124209,14800067.556867734,2.0266448305180202e-08,2.0266448305180202e-08,1.1505905149641574e-07,1.1505905149641574e-07,158.02498901253287,19327408.973115493,-9.414661351124996e-08,-2263670.70812352,14800067.556868449,0.0019198370015107674,2.9910951378354715e-05,11,17084766.655889403,17047312.091877747,17084766.655889444,-37454.564011674374,10.1332241525901,1.0
1.0117533979883671e-20,3.774758283725532e-15,2.5934102669398594e-13,False,4.199292574168695e-21,1.000835054490585e-07,20273924.11949681,-7.337738962890413e-08,1.7189488315462817e-21,7.431185684941661e-08,18783339.53776061,-7.297617601014197e-25,4.199292574168695e-21,1.000835054490585e-07,20273924.119496815,7.337738962890413e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.1506194407122426e-07,1.1506194407122427e-07,158.02863683760418,19233082.438378207,-9.02415424156879e-08,-2169667.6913968176,14893747.055584574,2.0266448305180202e-08,2.0266448305180202e-08,1.1506194407122427e-07,1.1506194407122427e-07,158.02863683761805,19233082.43835778,-9.024154241482162e-08,-2169667.6913759895,14893747.055605805,0.0023955969256365577,3.7323263958588326e-05,12,17085496.95693266,17054072.130160555,17085496.9569326,-31424.826772075146,10.1332241525901,1.0
1.0117533979883673e-20,6.661338147750939e-16,2.5934071187074e-13,False,4.199292574191728e-21,1.0008350544924149e-07,20273678.849143494,-7.337738861550214e-08,1.7189488315002166e-21,7.431185684875279e-08,18783728.902174123,0.0,4.199292574191728e-21,1.0008350544924149e-07,20273678.84914349,7.337738861550214e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.1506487523675355e-07,1.1506487523675355e-07,158.1122478146515,19038855.96328324,-8.208514038700296e-08,-1973463.6473460272,15091928.66859119,2.0266448305180202e-08,2.0266448305180202e-08,1.1506487523675355e-07,1.1506487523675356e-07,158.11224781464162,19038855.963296045,-8.208514038754747e-08,-1973463.6473591179,15091928.668577809,0.002975185825183511,4.635322607523722e-05,13,17087087.49017994,17068840.24476003,17087087.49017993,-18247.24541990459,10.1332241525901,1.0
1.0117533979883671e-20,2.3314683517128287e-15,2.5934038127834795e-13,False,4.199292574219329e-21,1.0008350544946076e-07,20273379.464685258,-7.337738749229739e-08,1.718948831445013e-21,7.431185684795729e-08,18784149.521642886,0.0,4.199292574219329e-21,1.0008350544946076e-07,20273379.464685258,7.33773874922974e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.1506782474788e-07,1.1506782474788e-07,158.2649847276706,18763860.454646003,-7.048635209288752e-08,-1694522.5623425618,15374815.329960879,2.0266448305180202e-08,2.0266448305180202e-08,1.1506782474788e-07,1.1506782474788e-07,158.26498472767656,18763860.4546356,-7.048635209244774e-08,-1694522.5623319894,15374815.329971623,0.00367610779389909,5.7273550514121504e-05,14,17089476.32291264,17091037.969024174,17089476.322912674,1561.6461115181446,10.1332241525901,1.0
1.0117533979883671e-20,4.218847493575595e-15,2.59340033639443e-13,False,4.199292574252161e-21,1.000835054497216e-07,20273015.901003685,-7.337738624670972e-08,1.7189488313793502e-21,7.431185684701106e-08,18784600.64439921,-7.2976176017228875e-25,4.199292574252161e-21,1.000835054497216e-07,20273015.90100369,7.337738624670973e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.1507078988000463e-07,1.1507078988000465e-07,158.47338003124392,18429096.189516425,-5.633578576753518e-08,-1354266.9971746355,15720562.19516715,2.0266448305180202e-08,2.0266448305180202e-08,1.1507078988000463e-07,1.1507078988000465e-07,158.4733800312508,18429096.189504802,-5.6335785767043626e-08,-1354266.997162819,15720562.195179166,0.0045222790106409375,7.045684998267625e-05,15,17092513.774793807,17119268.464045558,17092513.77479382,26754.689251746982,10.1332241525901,1.0
1.0117533979883671e-20,5.88418203051333e-15,2.5933966762996205e-13,False,4.1992925742909866e-21,1.0008350545003005e-07,20272576.500609253,-7.337738486402596e-08,1.718948831301699e-21,7.431185684589209e-08,18785081.35705806,-7.297617602052547e-25,4.1992925742909866e-21,1.0008350545003005e-07,20272576.50060925,7.337738486402598e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.1507376908692554e-07,1.1507376908692554e-07,158.7232843436714,18055398.484241188,-4.0518156351647815e-08,-973973.4696189091,16107451.545003371,2.0266448305180202e-08,2.0266448305180202e-08,1.1507376908692552e-07,1.1507376908692552e-07,158.72328434366935,18055398.484245025,-4.051815635180975e-08,-973973.469622802,16107451.544999419,0.005542482840901474,8.635156767950204e-05,16,17095989.36183106,17151567.851707343,17095989.361831076,55578.48987627402,10.1332241525901,1.0
1.0117533979883671e-20,1.9984014443252818e-15,2.593392820007999e-13,False,4.199292574336656e-21,1.0008350545039287e-07,20272047.92487698,-7.337738332756945e-08,1.7189488312103608e-21,7.431185684457587e-08,18785590.324458085,0.0,4.199292574336656e-21,1.0008350545039287e-07,20272047.924876977,7.337738332756945e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.1507676080501959e-07,1.1507676080501959e-07,159.0010353548731,17662017.3403782,-2.3851434771132733e-08,-573309.8172354549,16515397.705907285,2.0266448305180202e-08,2.0266448305180202e-08,1.150767608050196e-07,1.150767608050196e-07,159.0010353548835,17662017.34036436,-2.3851434770545196e-08,-573309.8172213323,16515397.705921695,0.006771048888645271,0.00010549255688340037,17,17099661.099468056,17185678.769438986,17099661.09946804,86017.66997093707,10.1332241525901,1.0
1.0117533979883668e-20,5.551115123125783e-15,2.5933887558052886e-13,False,4.199292574390182e-21,1.0008350545081811e-07,20271414.97489526,-7.337738161848144e-08,1.718948831103306e-21,7.431185684303318e-08,18786125.656985868,0.0,4.199292574390182e-21,1.0008350545081811e-07,20271414.97489527,7.337738161848142e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.1507976338804433e-07,1.1507976338804433e-07,159.29424060142557,17265705.94197472,-7.047796087525279e-09,-169396.93065511063,16926912.080664497,2.0266448305180202e-08,2.0266448305180202e-08,1.1507976338804433e-07,1.1507976338804433e-07,159.29424060143714,17265705.94195765,-7.047796086801934e-09,-169396.9306377247,16926912.080682196,0.008248893018473055,0.00012851728443958392,18,17103282.76103699,17219304.620202586,17103282.761036947,116021.85916561633,10.1332241525901,1.0
1.0117533979883671e-20,9.71445146547012e-15,2.593384472680147e-13,False,4.199292574452972e-21,1.0008350545131694e-07,20270660.397870544,-7.337737971543972e-08,1.7189488309777276e-21,7.431185684122355e-08,18786684.750692062,-7.297617603427934e-25,4.199292574452972e-21,1.0008350545131694e-07,20270660.397870537,7.337737971543972e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.150827751202188e-07,1.150827751202188e-07,159.5922230764704,16880264.981260657,9.305918213210218e-09,223660.19885522127,17327585.378971085,2.0266448305180202e-08,2.0266448305180202e-08,1.1508277512021881e-07,1.1508277512021881e-07,159.5922230764813,16880264.98124403,9.305918213914074e-09,223660.19887213781,17327585.378988292,0.010024782083010724,0.00015618553514052248,19,17106625.91655289,17250313.635517806,17106625.916552946,143687.71896488965,10.1332241525901,1.0
1.0117533979883671e-20,1.3322676295501878e-15,2.593379960249875e-13,False,4.1992925745265015e-21,1.0008350545190109e-07,20269764.681691997,-7.337737759434851e-08,1.7189488308306712e-21,7.431185683910442e-08,18787264.13036261,0.0,4.1992925745265e-21,1.0008350545190107e-07,20269764.68169199,7.337737759434851e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.1508579422670337e-07,1.1508579422670337e-07,159.88620293805877,16516437.254435029,2.4752745502341695e-08,594880.9553135745,17706199.165062167,2.0266448305180202e-08,2.0266448305180202e-08,1.1508579422670337e-07,1.1508579422670337e-07,159.88620293805752,16516437.254436238,2.4752745502290155e-08,594880.9553123359,17706199.165060896,0.012156848571541597,0.00018940300986555514,20,17109495.525094572,17276882.18555895,17109495.525094576,167386.6604643725,10.1332241525901,1.0
1.0117533979883671e-20,2.9976021664879227e-15,2.593375208694252e-13,False,4.1992925746108594e-21,1.0008350545257127e-07,20268705.81666146,-7.337737522799359e-08,1.7189488306619526e-21,7.431185683667313e-08,18787859.42863139,0.0,4.1992925746108594e-21,1.0008350545257127e-07,20268705.816661455,7.337737522799359e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.1508881889216307e-07,1.1508881889216307e-07,160.16929740552874,16182036.529502416,3.8960126323414676e-08,936276.703660788,18054589.93682399,2.0266448305180202e-08,2.0266448305180202e-08,1.1508881889216308e-07,1.1508881889216308e-07,160.1692974055276,16182036.52950381,3.896012632335531e-08,936276.7036593612,18054589.93682253,0.014714414855885868,0.00022924974722801959,21,17111739.161393896,17297581.81218592,17111739.16139389,185842.65079202875,10.1332241525901,1.0
1.0117533979883671e-20,7.605027718682322e-15,2.5933702087046703e-13,False,4.1992925747049095e-21,1.0008350545331844e-07,20267459.03956586,-7.337737258562905e-08,1.7189488304738517e-21,7.431185683396253e-08,18788465.435531944,0.0,4.1992925747049095e-21,1.0008350545331844e-07,20267459.03956586,7.337737258562906e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.1509184727875917e-07,1.1509184727875917e-07,160.43640250165708,15882219.955145493,5.170829876206459e-08,1242571.1193196476,18367362.193784747,2.0266448305180202e-08,2.0266448305180202e-08,1.1509184727875917e-07,1.1509184727875917e-07,160.43640250167076,15882219.955124673,5.170829876294559e-08,1242571.1193408184,18367362.19380627,0.017780186445668787,0.00027701429436768665,22,17113250.693940733,17311419.397523105,17113250.693940766,198168.7035823539,10.1332241525901,1.0
1.0117533979883671e-20,3.164135620181696e-15,2.5933649514417877e-13,False,4.199292574812707e-21,1.0008350545417485e-07,20265996.640312172,-7.33773696324593e-08,1.7189488302582585e-21,7.431185683085576e-08,18789075.818333235,7.297617606482366e-25,4.199292574812707e-21,1.0008350545417485e-07,20265996.640312172,7.33773696324593e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.1509487751143433e-07,1.1509487751143433e-07,160.68399451019053,15619851.189087566,6.28748348453959e-08,1510827.8939507902,18641506.976989146,2.0266448305180202e-08,2.0266448305180202e-08,1.1509487751143433e-07,1.1509487751143433e-07,160.6839945101944,15619851.189079547,6.287483484573364e-08,1510827.8939589057,18641506.976997357,0.021452858290394866,0.00033423431298895917,23,17113969.615649626,17317836.730126947,17113969.615649648,203867.11447731033,10.1332241525901,1.0
1.0117533979883671e-20,4.912736883966318e-15,2.593359428481714e-13,False,4.199292574951211e-21,1.0008350545527518e-07,20264287.860609014,-7.337736632909395e-08,1.71894882998125e-21,7.431185682686399e-08,18789682.48140075,0.0,4.199292574951211e-21,1.0008350545527518e-07,20264287.860609017,7.337736632909397e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.150979076128558e-07,1.150979076128558e-07,160.90987988182283,15395920.161260704,7.241678818769496e-08,1740021.1586404424,18875962.47854084,2.0266448305180202e-08,2.0266448305180202e-08,1.1509790761285578e-07,1.1509790761285578e-07,160.9098798818324,15395920.161246905,7.241678818827944e-08,1740021.1586544868,18875962.478555128,0.025850187984623428,0.00040274445972285534,24,17113877.343152467,17316673.08611748,17113877.34315249,202795.7429650016,10.1332241525901,1.0
1.0117533979883671e-20,6.772360450213455e-15,2.5933536316846784e-13,False,4.1992925751384454e-21,1.0008350545676266e-07,20262298.703419708,-7.337736263116681e-08,1.7189488296067815e-21,7.431185682146776e-08,18790275.659239896,-1.4595235218496287e-24,4.1992925751384454e-21,1.0008350545676266e-07,20262298.703419704,7.337736263116681e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.1510093545917649e-07,1.1510093545917649e-07,161.11293278317035,15209975.083473748,8.035234996431518e-08,1930594.2274102774,19071163.53828881,2.0266448305180202e-08,2.0266448305180202e-08,1.1510093545917649e-07,1.1510093545917649e-07,161.11293278318794,15209975.083448408,8.035234996538812e-08,1930594.2274360564,19071163.53831503,0.03111271574777497,0.00048473434320098387,25,17112991.633547775,17308098.439541817,17112991.633547798,195106.8059940301,10.1332241525901,1.0
1.0117533979883671e-20,2.0872192862952943e-14,2.59334755293822e-13,False,4.199292575347616e-21,1.0008350545842441e-07,20259991.37418271,-7.337735848914202e-08,1.718948829188441e-21,7.431185681543934e-08,18790846.08892393,0.0,4.199292575347616e-21,1.0008350545842441e-07,20259991.374182712,7.337735848914202e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.151039588731333e-07,1.151039588731333e-07,161.29286300778,15060511.84401533,8.674434028657106e-08,2084062.5706722997,19228636.985347137,2.0266448305180202e-08,2.0266448305180202e-08,1.1510395887313329e-07,1.1510395887313329e-07,161.29286300780026,15060511.8439844,8.674434028787933e-08,2084062.5707037318,19228636.98537907,0.037408494016995274,0.000582822210843582,26,17111359.924865276,17292532.842246987,17111359.924865335,181172.9173816815,10.1332241525901,1.0
1.0117533979883671e-20,3.0531133177191805e-15,2.593341183913521e-13,False,4.1992925754576186e-21,1.0008350545929832e-07,20257323.385049887,-7.337735384787054e-08,1.7189488289684335e-21,7.431185681226896e-08,18791388.761596598,-7.297617611958184e-25,4.1992925754576186e-21,1.0008350545929832e-07,20257323.385049887,7.337735384787054e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.1510697584667227e-07,1.1510697584667227e-07,161.45003719142218,14945279.101989672,9.168728816680008e-08,2202703.1203266345,19350685.342631347,2.0266448305180202e-08,2.0266448305180202e-08,1.1510697584667226e-07,1.1510697584667227e-07,161.4500371914348,14945279.101968262,9.168728816770394e-08,2202703.120348349,19350685.342653368,0.04493915654013814,0.0007001495049832773,27,17109052.25352891,17270572.68319333,17109052.25352888,161520.429664433,10.1332241525901,1.0
1.0117533979883671e-20,9.658940314238862e-15,2.593334516342031e-13,False,4.199292575277245e-21,1.0008350545786536e-07,20254246.96927379,-7.337734864531208e-08,1.7189488293291827e-21,7.431185681746748e-08,18791905.336954184,0.0,4.199292575277245e-21,1.0008350545786536e-07,20254246.9692738,7.337734864531207e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.1510998460643445e-07,1.1510998460643447e-07,161.58534394927148,14861490.658006553,9.52984356886125e-08,2289337.9493102655,19440166.556625687,2.0266448305180202e-08,2.0266448305180202e-08,1.1510998460643447e-07,1.1510998460643447e-07,161.58534394928884,14861490.657980008,9.529843568973499e-08,2289337.949337231,19440166.556653075,0.05394699449531535,0.0008404911084055367,28,17106154.603463557,17242942.454028986,17106154.603463568,136787.85056542605,10.1332241525901,1.0
1.0117533979883674e-20,5.662137425588298e-15,2.593327542397158e-13,False,4.199292574699694e-21,1.00083505453277e-07,20250709.23873916,-7.337734280970471e-08,1.7189488304842867e-21,7.43118568341129e-08,18792402.47011342,7.297617605522787e-25,4.199292574699694e-21,1.00083505453277e-07,20250709.238739166,7.337734280970471e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.1511298355513859e-07,1.1511298355513859e-07,161.7000921473481,14805959.975472057,9.771203065845257e-08,2347197.0224782433,19500354.02042255,2.0266448305180202e-08,2.0266448305180202e-08,1.151129835551386e-07,1.151129835551386e-07,161.7000921473638,14805959.975446343,9.771203065953871e-08,2347197.0225043334,19500354.02044902,0.06472325969750427,0.0010083847078357386,29,17102763.11651186,17210474.915309194,17102763.11651185,107711.7987973392,10.1332241525901,1.0
1.0117533979883671e-20,3.497202527569243e-15,2.5933202557465826e-13,False,4.199292573927231e-21,1.000835054471402e-07,20246653.52755087,-7.33773362568144e-08,1.7189488320292098e-21,7.431185685637575e-08,18792886.71122395,0.0,4.199292573927231e-21,1.000835054471402e-07,20246653.52755088,7.33773362568144e-08,-2.0266448305180202e-08,-2.0266448305180202e-08,1.1511597064757382e-07,1.1511597064757382e-07,161.79589559648358,14775219.032643057,9.907427028042898e-08,2379796.656462483,19534812.345539626,2.0266448305180202e-08,2.0266448305180202e-08,1.1511597064757381e-07,1.1511597064757382e-07,161.7958955964821,14775219.03264611,9.907427028030049e-08,2379796.6564593967,19534812.345536504,0.07761624769794148,0.001209256728168359,30,17098979.58686502,17174110.501155347,17098979.586865008,75130.9142903313,10.1332241525901,1.0
