total_volume_m3,mirror_error,energy_J,V_left_m3,R_left_m,mu_left_Pa,centroid_left_m,V_center_m3,R_center_m,mu_center_Pa,centroid_center_m,V_right_m3,R_right_m,mu_right_Pa,centroid_right_m,LEFT_gb_z_m,LEFT_tj_z_m,LEFT_tj_r_m,LEFT_neck_r_m,LEFT_psi_deg,LEFT_kappa_per_m,LEFT_CC_force_N,LEFT_CC_stress_Pa,LEFT_PF_geometric_stress_Pa,RIGHT_gb_z_m,RIGHT_tj_z_m,RIGHT_tj_r_m,RIGHT_neck_r_m,RIGHT_psi_deg,RIGHT_kappa_per_m,RIGHT_CC_force_N,RIGHT_CC_stress_Pa,RIGHT_PF_geometric_stress_Pa,t_model,t_s,step,mu_projected_left_Pa,mu_projected_center_Pa,mu_projected_right_Pa,delta_mu_projected_Pa,center_GB_separation_over_W,center_solid_core_f
9.83675627185684e-21,1.4155343563970746e-15,2.5453546717822037e-13,4.199293057264929e-21,1.0008350928700358e-07,20283293.882887553,-7.012280108514917e-08,1.4381701573269826e-21,7.002297438530149e-08,20355320.95474021,0.0,4.199293057264928e-21,1.0008350928700357e-07,20283293.882887565,7.012280108514918e-08,-1.7011870189681142e-08,-1.7011870189681142e-08,1.1506577768852508e-07,1.1506577768852508e-07,158.24108947380836,19629885.816828795,-1.0652206851458517e-07,-2560927.9759796932,14508029.864866104,1.7011870189681142e-08,1.7011870189681142e-08,1.150657776885251e-07,1.150657776885251e-07,158.24108947380145,19629885.816841297,-1.0652206851511357e-07,-2560927.9759923965,14508029.8648532,0.003235032153302591,5.0401617100151124e-05,15.0,17089067.77502002,18731460.969005175,17089067.775020037,1642393.1939851493,8.50593509484057,1.0
9.83675627185684e-21,6.661338147750939e-16,2.545354129335188e-13,4.199293076523184e-21,1.0008350944000025e-07,20283308.807983797,-7.012280066980753e-08,1.4381701188104714e-21,7.002297376019218e-08,20354910.79536391,0.0,4.199293076523184e-21,1.0008350944000025e-07,20283308.807983812,7.012280066980753e-08,-1.7011870189681142e-08,-1.7011870189681142e-08,1.150662635811343e-07,1.150662635811343e-07,158.26947252156063,19579840.670014452,-1.0441053813466103e-07,-2510142.8616749384,14559554.946337674,1.7011870189681142e-08,1.7011870189681142e-08,1.150662635811343e-07,1.150662635811343e-07,158.26947252155577,19579840.67002213,-1.0441053813498612e-07,-2510142.861682754,14559554.94632972,0.0033487853689388777,5.217388573511908e-05,16.0,17089495.89587375,18736819.053298857,17089495.895873763,1647323.1574251018,8.50593509484057,1.0
9.83675627185684e-21,6.661338147750939e-16,2.5453530802646655e-13,4.1992931146279575e-21,1.000835097427226e-07,20283334.595800966,-7.01227998519643e-08,1.4381700426009251e-21,7.002297252333823e-08,20354116.09869242,1.7153550930533196e-24,4.1992931146279575e-21,1.000835097427226e-07,20283334.59580098,7.01227998519643e-08,-1.7011870189681142e-08,-1.7011870189681142e-08,1.1506719259656046e-07,1.1506719259656046e-07,158.32831005167387,19479138.788589425,-1.0015926662844903e-07,-2407898.790616598,14663341.205030512,1.7011870189681142e-08,1.7011870189681142e-08,1.1506719259656045e-07,1.1506719259656046e-07,158.32831005166375,19479138.78860563,-1.0015926662913503e-07,-2407898.79063309,14663341.205013733,0.0035762918002114506,5.5718423005055e-05,17.0,17090366.766102307,18747749.562301368,17090366.766102307,1657382.796199061,8.50593509484057,1.0
9.83675627185684e-21,3.7192471324942744e-15,2.545351108787426e-13,4.1992931893180915e-21,1.0008351033609633e-07,20283371.76186307,-7.012279826295977e-08,1.438169893220656e-21,7.002297009894924e-08,20352617.691938687,0.0,4.1992931893180915e-21,1.0008351033609633e-07,20283371.761863083,7.012279826295977e-08,-1.7011870189681142e-08,-1.7011870189681142e-08,1.150689008848942e-07,1.150689008848942e-07,158.45061785581956,19279109.267659206,-9.170741340381453e-08,-2204644.869614098,14869819.518417258,1.7011870189681142e-08,1.7011870189681142e-08,1.150689008848942e-07,1.150689008848942e-07,158.45061785581788,19279109.267661706,-9.170741340392053e-08,-2204644.8696166463,14869819.518414663,0.0040313046627565964,6.280749754492683e-05,18.0,17092127.130394883,18769957.661135487,17092127.13039485,1677830.5307406187,8.50593509484057,1.0
9.836756271856841e-21,5.051514762044462e-15,2.545349362306211e-13,4.199293258855206e-21,1.0008351088853204e-07,20283392.31857864,-7.012279679820006e-08,1.4381697541464295e-21,7.002296784182353e-08,20351283.197636805,-8.576777185515151e-25,4.199293258855206e-21,1.0008351088853204e-07,20283392.318578657,7.012279679820007e-08,-1.7011870189681142e-08,-1.7011870189681142e-08,1.1507037756402077e-07,1.1507037756402077e-07,158.56842123755914,19094363.90430622,-8.389518707874525e-08,-2016787.3004507609,15060789.283551909,1.7011870189681142e-08,1.7011870189681142e-08,1.1507037756402075e-07,1.1507037756402075e-07,158.5684212375599,19094363.904305927,-8.389518707873193e-08,-2016787.3004504405,15060789.283552254,0.00446504715858517,6.956518098015877e-05,19.0,17093776.753989324,18790889.44734453,17093776.753989372,1697112.693355184,8.50593509484057,1.0
9.83675627185684e-21,1.1213252548714081e-14,2.5453461829557135e-13,4.1992933936688566e-21,1.0008351195955538e-07,20283397.915993836,-7.012279399384038e-08,1.4381694845191266e-21,7.002296346586696e-08,20348840.159774613,0.0,4.1992933936688566e-21,1.0008351195955538e-07,20283397.915993843,7.01227939938404e-08,-1.7011870189681142e-08,-1.7011870189681142e-08,1.1507297447779032e-07,1.1507297447779032e-07,158.7977266731299,18750512.772481825,-6.93430977074574e-08,-1666889.0268664397,15416734.677721476,1.7011870189681142e-08,1.7011870189681142e-08,1.1507297447779031e-07,1.1507297447779031e-07,158.79772667313972,18750512.772466403,-6.934309770680416e-08,-1666889.0268507376,15416734.677737456,0.005332532150242317,8.308054785062267e-05,20.0,17096877.72839512,18830546.52411874,17096877.72839511,1733668.7957236245,8.50593509484057,1.0
9.836756271856838e-21,7.771561172376096e-16,2.545345334448283e-13,4.199293431446851e-21,1.0008351225968162e-07,20283392.701092012,-7.012279321490579e-08,1.4381694089631347e-21,7.002296223961961e-08,20348183.10489604,0.0,4.199293431446853e-21,1.0008351225968163e-07,20283392.701092027,7.012279321490577e-08,-1.7011870189681142e-08,-1.7011870189681142e-08,1.1507365202954129e-07,1.1507365202954129e-07,158.86077668914538,18658570.3270467,-6.545013971327827e-08,-1573290.4725881144,15511989.334969632,1.7011870189681142e-08,1.7011870189681142e-08,1.1507365202954129e-07,1.1507365202954129e-07,158.86077668913077,18658570.327069104,-6.545013971422719e-08,-1573290.4726109244,15511989.334946414,0.005581308948231462,8.695647622519846e-05,21.0,17097706.20799847,18841207.059388183,17097706.207998473,1743500.8513897136,8.50593509484057,1.0
9.83675627185684e-21,8.881784197001252e-16,2.5453437104049323e-13,4.199293505898109e-21,1.0008351285115758e-07,20283374.129212074,-7.012279168829479e-08,1.438169260060621e-21,7.002295982298371e-08,20346921.74389135,8.57678013208341e-25,4.199293505898109e-21,1.0008351285115758e-07,20283374.129212096,7.012279168829479e-08,-1.7011870189681142e-08,-1.7011870189681142e-08,1.150749271625379e-07,1.150749271625379e-07,158.98263900438496,18483863.845372528,-5.805073625818153e-08,-1395392.6858245023,15693078.415986475,1.7011870189681142e-08,1.7011870189681142e-08,1.1507492716253788e-07,1.1507492716253788e-07,158.9826390043842,18483863.845376603,-5.8050736258352e-08,-1395392.6858286,15693078.415982358,0.006078862544209753,9.470833297435005e-05,22.0,17099275.33978375,18861485.14764763,17099275.33978375,1762209.80786388,8.50593509484057,1.0
9.83675627185684e-21,1.4432899320127035e-15,2.5453418100762787e-13,4.19929359661293e-21,1.0008351357183895e-07,20283337.974912543,-7.012278984193868e-08,1.4381690786309786e-21,7.002295687844363e-08,20345438.575509407,0.0,4.19929359661293e-21,1.0008351357183895e-07,20283337.974912558,7.012278984193868e-08,-1.7011870189681142e-08,-1.7011870189681142e-08,1.1507638561905306e-07,1.1507638561905306e-07,159.125849334709,18283026.294189587,-4.9541566681156436e-08,-1190823.6135896891,15901378.997783748,1.7011870189681142e-08,1.7011870189681142e-08,1.1507638561905306e-07,1.1507638561905306e-07,159.12584933470896,18283026.29419107,-4.9541566681218276e-08,-1190823.6135911755,15901378.997782262,0.0066975707378777545,0.00010434777147023815,23.0,17101061.430481493,18884718.250166655,17101061.430481467,1783656.819685176,8.50593509484057,1.0
9.83675627185684e-21,2.9976021664879227e-15,2.545338659780973e-13,4.1992937556474536e-21,1.0008351483528429e-07,20283242.55138441,-7.012278663741425e-08,1.4381687605619336e-21,7.002295171629291e-08,20342963.22145533,8.576783110934387e-25,4.1992937556474536e-21,1.0008351483528429e-07,20283242.55138443,7.012278663741425e-08,-1.7011870189681142e-08,-1.7011870189681142e-08,1.1507872521574452e-07,1.1507872521574452e-07,159.36079391566383,17963107.12737046,-3.5980908059790534e-08,-864832.8192663603,16233441.40502065,1.7011870189681142e-08,1.7011870189681142e-08,1.1507872521574452e-07,1.1507872521574452e-07,159.36079391565656,17963107.12738331,-3.5980908060333303e-08,-864832.8192794062,16233441.405007403,0.007813832527524047,0.00012173906671527784,24.0,17103835.399031512,18921197.08850062,17103835.39903148,1817361.6894691214,8.50593509484057,1.0
