q_over_b,u_m,energy_J,envelope_force_N,configurational_force_N,PF_force_relative_difference,KKT_residual,left_pressure_Pa,center_pressure_Pa,right_pressure_Pa,right_KKT_pressure_difference_Pa,right_CMC_pressure_difference_Pa,right_neck_radius_m,left_neck_radius_m,right_dihedral_deg,reference_dihedral_deg,right_local_activation_stress_Pa,right_CC_KKT_force_N,right_CC_KKT_reference_force_N,right_CC_CMC_force_N,left_centroid_m,center_centroid_m,right_centroid_m,left_volume_m3,center_volume_m3,right_volume_m3,gb_left_m,gb_right_m,right_centroid_displacement_m,center_centroid_displacement_m,remote_neck_change_m,remote_pressure_change_Pa,minus_delta_energy_J,integrated_work_J,work_closure_residual_J
0.5,1.25e-10,6.163526831239731e-13,4.883256919487053e-08,4.883256918488247e-08,-2.0453672333902646e-10,9.733573235696374e-08,13306599.513114622,10061285.687227441,13306439.444300288,3245153.7570728473,3251638.6779254004,8.329300636723894e-08,8.335982966242343e-08,160.2846890341158,160.0,37039198.88366401,4.4488901908978554e-07,4.446648344008742e-07,4.447476769609703e-07,-2.2022607905387513e-07,-7.335054963034957e-11,2.2018348296559372e-07,1.4169445195445317e-20,2.339779050664196e-21,1.416944519567737e-20,-9.075000000000002e-08,9.068750000000001e-08,5.412889600714434e-11,7.33367895620443e-11,2.551229994867981e-11,3412.074135651812,-3.342024061410338e-18,-3.304831473725847e-18,3.719258768449105e-20
0.55,1.3750000000000002e-10,6.163520616056559e-13,5.066832484059743e-08,5.0668324772054754e-08,-1.3527716562775998e-09,8.364432874108374e-08,13306601.675762052,10060855.31985277,13306465.464614581,3245610.144761812,3252304.6960039325,8.328933335190724e-08,8.336255892897911e-08,160.28250975705242,160.0,37042807.54136029,4.4486086917349903e-07,4.446383983296307e-07,4.447149709127075e-07,-2.202244490827167e-07,-8.053006444997338e-11,2.2017860259422116e-07,1.4169445195444965e-20,2.339779050664167e-21,1.416944519567778e-20,-9.075000000000002e-08,9.068125000000001e-08,5.900926737970776e-11,8.051630438166811e-11,2.824156650436292e-11,3844.6041577532887,-2.720505744219346e-18,-2.682950886004172e-18,3.7554858215174227e-20
0.6,1.5e-10,6.163514149735787e-13,5.285862407452989e-08,5.2858624064471856e-08,-1.902817818523881e-10,5.762744056383648e-08,13306610.417586291,10060404.88332283,13306499.131103985,3246094.2477811556,3252990.983893484,8.328606852092212e-08,8.33650608619531e-08,160.2803971093329,160.0,37046217.54310715,4.448340022812619e-07,4.4461319213331986e-07,4.446837094708891e-07,-2.2022280512247038e-07,-8.727941136169757e-11,2.2017330546420144e-07,1.4169445195444808e-20,2.339779050664179e-21,1.416944519567775e-20,-9.075000000000002e-08,9.067500000000001e-08,6.430639739942175e-11,8.72656512933923e-11,3.074349947835149e-11,4303.782511932775,-2.0738736670614766e-18,-2.035907455284627e-18,3.796621177684957e-20
0.65,1.625e-10,6.163507386711255e-13,5.5429947652124175e-08,5.542994768043147e-08,5.106860039704926e-10,9.522821034502194e-08,13306587.058724033,10060066.030792441,13306471.63256686,3246405.6017744187,3253403.239935944,8.328219161052312e-08,8.336702375441863e-08,160.27851395892384,160.0,37049985.57795665,4.4480833127759705e-07,4.445890040083658e-07,4.446558538188313e-07,-2.2022209202781237e-07,-9.396726836138499e-11,2.201696890341398e-07,1.41694451954423e-20,2.339779050663219e-21,1.4169445195677894e-20,-9.075000000000002e-08,9.066875000000001e-08,6.792282746106579e-11,9.395350829307971e-11,3.270639194387964e-11,4619.276180062443,-1.3975712138479114e-18,-1.3591038819930387e-18,3.8467331854872657e-20
0.7,1.75e-10,6.163500275492828e-13,5.8424588474169755e-08,5.8424588482358764e-08,1.4016373702925838e-10,9.714070209766029e-08,13306586.571454149,10059616.69663068,13306496.134881034,3246879.4382503554,3254151.2795568574,8.327899198133436e-08,8.336943297086963e-08,160.27653488378522,160.0,37053411.94081156,4.4478208801002606e-07,4.4456431686983237e-07,4.446236478818895e-07,-2.202207217417078e-07,-1.0064930777327411e-10,2.2016440717573716e-07,1.4169445195445088e-20,2.3397790506641e-21,1.4169445195677262e-20,-9.075000000000002e-08,9.066250000000001e-08,7.32046858637025e-11,1.0063554770496883e-10,3.511560839488111e-11,5068.123071940616,-6.864493711590024e-19,-6.475130312037026e-19,3.8936339955299753e-20
0.75,1.8750000000000002e-10,6.163492762770237e-13,6.186624774713815e-08,6.186624775774505e-08,1.7144896116693345e-10,9.170794858714623e-08,13306573.831333535,10059238.507071855,13306490.87894413,3247252.371872276,3254678.867633866,8.327544920594273e-08,8.337141177882342e-08,160.27474095617868,160.0,37057049.70947638,4.4475664805740674e-07,4.445402891657404e-07,4.44594852058244e-07,-2.2021987167187067e-07,-1.0716611754511075e-10,2.201601985489099e-07,1.416944519544552e-20,2.33977905066414e-21,1.416944519567778e-20,-9.075000000000002e-08,9.065625000000002e-08,7.741331269097126e-11,1.0715235747680547e-10,3.70944163486682e-11,5433.572510151193,6.482288798601563e-20,1.0430469517947369e-19,3.948180719345805e-20
0.8,2.0000000000000003e-10,6.163484789404628e-13,6.579355155492604e-08,6.579355160609419e-08,7.777076537686617e-10,9.050079258915433e-08,13306574.120832367,10058792.276875576,13306511.645665647,3247719.3687900715,3255395.634192845,8.327249498316657e-08,8.33734996324047e-08,160.2729326678752,160.0,37060392.7273134,4.4473179209660736e-07,4.4451685517347043e-07,4.4456456640198537e-07,-2.2021868304820693e-07,-1.1343958607730927e-10,2.2015489033642428e-07,1.4169445195445585e-20,2.3397790506642168e-21,1.4169445195677446e-20,-9.075000000000002e-08,9.065000000000002e-08,8.272152517658235e-11,1.13425826009004e-10,3.918226992994798e-11,5880.092205261812,8.621594488664541e-19,9.021784408173752e-19,4.0018991950921065e-20
0.85,2.1250000000000002e-10,6.163476293396998e-13,7.023585001632154e-08,7.023584999925393e-08,-2.430042208372155e-10,9.816312970334709e-08,13306574.259115828,10058336.224915175,13306526.29882444,3248190.073909266,3256077.00316274,8.32698247285299e-08,8.337536430454076e-08,160.27120612092978,160.0,37063612.35132399,4.4470819579135983e-07,4.44494616198796e-07,4.445363918515195e-07,-2.2021754835985273e-07,-1.1936636279636744e-10,2.2014933308306226e-07,1.4169445195445067e-20,2.3397790506641e-21,1.4169445195677394e-20,-9.075000000000002e-08,9.064375000000002e-08,8.827877853860385e-11,1.1935260272806217e-10,4.104694206600889e-11,6336.282449124381,1.7117602118259763e-18,1.7523622006376713e-18,4.060198881169497e-20
0.9,2.2500000000000002e-10,6.163467208707143e-13,7.522161219934887e-08,7.522161235818055e-08,2.1115166620721596e-09,9.432668352047507e-08,13306559.206783036,10057949.770560505,13306512.48803022,3248562.7174697146,3256595.5748737454,8.32665196293996e-08,8.337713100857109e-08,160.26963623062406,160.0,37067197.78734019,4.446840082503401e-07,4.444716650954242e-07,4.4450903939318847e-07,-2.2021685356216887e-07,-1.2558375668911522e-10,2.201450173748725e-07,1.4169445195445085e-20,2.3397790506641254e-21,1.4169445195677545e-20,-9.075000000000002e-08,9.063750000000002e-08,9.259448672835461e-11,1.2556999662080994e-10,4.281364609634289e-11,6707.684471001849,2.62022919734664e-18,2.6614713394856122e-18,4.1242142138972163e-20
0.95,2.375e-10,6.163457538042476e-13,7.865878108947879e-08,7.86587809828466e-08,-1.355629748637418e-09,9.925278560618186e-08,13306552.88188168,10057514.184975436,13306520.264550848,3249006.079575412,3257253.019832395,8.326364301645197e-08,8.337896750368676e-08,160.26808119603783,160.0,37070570.79511149,4.446602172770638e-07,4.44449097851624e-07,4.444805977542668e-07,-2.2021594213646333e-07,-1.31619545145452e-10,2.2014012557457844e-07,1.416944519544382e-20,2.3397790506640486e-21,1.4169445195677223e-20,-9.075000000000002e-08,9.063125000000002e-08,9.74862870224282e-11,1.3160578507714673e-10,4.4650141212011554e-11,7136.945154715329,3.587295664023883e-18,3.623223797540784e-18,3.5928133516900825e-20
1.0,2.5e-10,6.163447587803893e-13,8.054328905725371e-08,8.054328912968727e-08,8.993121600959145e-10,8.933642279846526e-08,13306550.430856155,10057063.316487588,13306536.516325913,3249473.1998383254,3257935.522858953,8.326105322790834e-08,8.338064396770037e-08,160.26658425560925,160.0,37073796.83266264,4.446372434151984e-07,4.444273015602384e-07,4.4445294429063037e-07,-2.2021502760759982e-07,-1.3735797068638675e-10,2.2013511203405092e-07,1.4169445195442738e-20,2.339779050664191e-21,1.416944519567731e-20,-9.075000000000002e-08,9.062500000000002e-08,1.0249982754993887e-10,1.3734421061808148e-10,4.6326605225624945e-11,7585.36261703819,4.582319522336975e-18,4.618236735957863e-18,3.591721362088779e-20
