design_id,time_s,energy_J,surface_area_m2,GB_area_m2,center_volume_m3,total_volume_m3,f_min,f_max,mirror_error,topology_stop,LEFT_sigma_MPa,LEFT_curvature_term_MPa,LEFT_TJ_term_MPa,LEFT_rTJ_nm,LEFT_kappa_negative_per_um,LEFT_kappa_positive_per_um,LEFT_theta_negative_deg,LEFT_theta_positive_deg,LEFT_root_rate_per_s,LEFT_G_root_eV,LEFT_gb_position_nm,LEFT_neck_radius_nm,RIGHT_sigma_MPa,RIGHT_curvature_term_MPa,RIGHT_TJ_term_MPa,RIGHT_rTJ_nm,RIGHT_kappa_negative_per_um,RIGHT_kappa_positive_per_um,RIGHT_theta_negative_deg,RIGHT_theta_positive_deg,RIGHT_root_rate_per_s,RIGHT_G_root_eV,RIGHT_gb_position_nm,RIGHT_neck_radius_nm,mean_sigma_MPa,delta_ln_Gamma_sites,delta_ln_Gamma_barrier,delta_ln_Gamma_total,LEFT_integrated_hazard,RIGHT_integrated_hazard,survival_probability
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,1.6463338977058021e-06,6.518360493625723e-13,6.434982624445132e-13,2.4115639998848328e-14,2.3596033547853597e-21,3.0678669441790083e-20,-2.185127487078322e-36,1.0,1.765254609153999e-14,False,43.63517507517714,-4.199445769762024,47.83462084493916,61.95258922467519,2.142342760593043,6.2565487789310055,162.63110944612404,161.5865523638664,0.06470640061264257,5.948740282886954,-90.75000000000001,61.95258922467519,43.63517507517712,-4.19944576976204,47.83462084493916,61.95258922467519,6.2565487789310055,2.1423427605930736,161.5865523638664,162.63110944612404,0.06470640061264257,5.948740282886954,90.75000000000001,61.95258922467519,43.63517507517713,0.0004156643770405408,0.011697925526779524,0.012113589903820065,1.0606164484801121e-07,1.0606164484801134e-07,0.9999998303013826
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,2.0940847978767903e-06,6.518358942265476e-13,6.434978742199135e-13,2.4117643509112227e-14,2.359603348677061e-21,3.0678669441790083e-20,-2.185127487078322e-36,1.0,1.7208456881689926e-14,False,43.696657904954264,-4.139107950004548,47.835765854958815,61.95516265980887,2.0814498815773037,6.196766018431792,162.67890411353977,161.63421862689057,0.06480555899875383,5.948505338232884,-90.75000000000001,61.95516265980887,43.696657904954314,-4.139107950004495,47.835765854958815,61.95516265980888,6.196766018431712,2.0814498815772775,161.63421862689063,162.67890411353986,0.06480555899875384,5.948505338232884,90.75000000000001,61.95516265980888,43.69665790495429,0.00045720229690306055,0.013187650137172472,0.013644852434075531,1.3505619309746692e-07,1.3505619309746705e-07,0.9999997839101143
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,2.6489873349924943e-06,6.518357456142171e-13,6.434974980095318e-13,2.4119660387688835e-14,2.3596033411087083e-21,3.0678669441790083e-20,-2.185127487078322e-36,1.0,1.6542323066914832e-14,False,43.76209178032435,-4.074981599444988,47.837073379769336,61.95775315808715,2.0167389859725353,6.13322421291744,162.7295175377457,161.68469994455754,0.06491100811968466,5.948255521031191,-90.75000000000001,61.95775315808715,43.76209178032437,-4.074981599444965,47.837073379769336,61.95775315808715,6.13322421291744,2.016738985972489,161.68469994455754,162.7295175377458,0.06491100811968466,5.948255521031191,90.75000000000001,61.95775315808715,43.762091780324354,0.0004990138911433852,0.014771677809288486,0.015270691700431872,1.7104621919744744e-07,1.7104621919744757e-07,0.9999997263260867
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,3.3357381587675023e-06,6.518356025614416e-13,6.434971338186751e-13,2.4121690740671574e-14,2.359603331744269e-21,3.0678669441790083e-20,-2.185127487078322e-36,1.0,1.5987211554602254e-14,False,43.8318822384068,-4.00667846991742,47.83856070832421,61.96036085362869,1.9478181561149102,6.065538783719928,162.78324156219944,161.7382868979681,0.06502339860614274,5.947989326793617,-90.75000000000001,61.96036085362869,43.83188223840678,-4.0066784699174445,47.83856070832421,61.96036085362869,6.0655387837200445,1.9478181561148442,161.73828689796804,162.78324156219952,0.06502339860614252,5.947989326793618,90.75000000000001,61.96036085362869,43.83188223840679,0.0005411012899505129,0.016459548122527,0.017000649412477514,2.156624996252869e-07,2.1566249962528695e-07,0.9999996549400602
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,4.17720244700225e-06,6.518354651003417e-13,6.434967846675743e-13,2.4123718858019544e-14,2.3596033202728983e-21,3.0678669441790083e-20,-2.185127487078322e-36,1.0,1.5432100042289676e-14,False,43.905875912152354,-3.9343567654260676,47.84023267757843,61.96296556825684,1.8748467837232778,5.993866747128857,162.8399394153663,161.7948423187905,0.06514248330936243,5.947707388312848,-90.75000000000001,61.96296556825684,43.90587591215239,-3.9343567654260365,47.840232677578435,61.96296556825684,5.993866747128976,1.8748467837230978,161.79484231879042,162.83993941536647,0.06514248330936243,5.947707388312848,90.75000000000001,61.96296556825684,43.90587591215237,0.0005831388094997615,0.018247248698575302,0.018830387508075065,2.704274702145263e-07,2.7042747021452624e-07,0.9999995673161413
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,5.2052054971187715e-06,6.518353320822261e-13,6.434964316069948e-13,2.4125744516649244e-14,2.3596033062618535e-21,3.0678669441790083e-20,-2.185127487078322e-36,1.0,1.4932499681208355e-14,False,43.984431628810164,-3.8576727203092265,47.8421043491194,61.96556701585903,1.7974781454487938,5.91786729516966,162.89986966966123,161.8546238517522,0.06526884235869987,5.947408390182593,-90.75000000000001,61.96556701585903,43.98443162881009,-3.8576727203093006,47.8421043491194,61.96556701585903,5.91786729516966,1.797478145448942,161.8546238517522,162.89986966966123,0.06526884235869987,5.947408390182593,90.75000000000001,61.96556701585903,43.98443162881013,0.0006251218387236622,0.020143120195912412,0.020768242034636075,3.374590904927798e-07,3.374590904927797e-07,0.999999460065601
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,6.487876157980029e-06,6.518351995575194e-13,6.434960628383577e-13,2.4127811463138455e-14,2.3596032887841088e-21,3.0678669441790083e-20,-2.185127487078322e-36,1.0,1.4432899320127035e-14,False,44.0698039763339,-3.7744354447636703,47.844239421097576,61.9682213747319,1.7135025859953998,5.835368303531941,162.9647278117514,161.91932344398032,0.06540610548500836,5.947083822945279,-90.75000000000001,61.9682213747319,44.06980397633465,-3.7744354447629584,47.844239421097605,61.96822137473191,5.835368303530756,1.713502585995161,161.91932344398143,162.96472781175154,0.06540610548500975,5.947083822945276,90.75000000000001,61.96822137473191,44.06980397633427,0.0006679569510484359,0.022201118932132093,0.022869075883180528,4.2126555134712953e-07,4.212655513471304e-07,0.999999325975345
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,8.067266991339277e-06,6.518350681957859e-13,6.434956817624878e-13,2.4129892548722862e-14,2.3596032672686896e-21,3.0678669441790083e-20,-2.185127487078322e-36,1.0,1.404432126150823e-14,False,44.161504835138714,-3.68513136407023,47.84663619920894,61.970893776074725,1.6234119504928437,5.746850777647616,163.03412187094918,161.98855165655556,0.0655534951600329,5.94673563136154,-90.75000000000001,61.970893776074725,44.16150483513864,-3.6851313640702914,47.84663619920894,61.970893776074725,5.746850777647616,1.6234119504929672,161.98855165655556,163.03412187094906,0.0655534951600329,5.94673563136154,90.75000000000001,61.970893776074725,44.16150483513868,0.0007110813729066014,0.024408913672043366,0.025119995044949966,5.246837477467125e-07,5.246837477467144e-07,0.999999160506356
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,1.0007206438522737e-05,6.518349369961893e-13,6.434952897621854e-13,2.4131984759530454e-14,2.359603240848655e-21,3.0678669441790083e-20,-2.185127487078322e-36,1.0,1.354472090042691e-14,False,44.25990737186943,-3.589404783528517,47.849312155397946,61.97358034757678,1.526848647943701,5.651960919113334,163.1083316632431,162.0625900920296,0.06571162535096525,5.946362493101848,-90.75000000000001,61.97358034757678,44.259907371869446,-3.589404783528496,47.84931215539794,61.973580347576785,5.651960919113479,1.5268486479435122,162.06259009202952,163.1083316632433,0.06571162535096527,5.946362493101848,90.75000000000001,61.973580347576785,44.25990737186944,0.0007544325835430922,0.026774888972670777,0.02752932155621387,6.520069404060005e-07,6.520069404060024e-07,0.9999989567894395
Ro150_q0.55_L45W_r0.75_th160_kc+10_ko+10,1.2386068947882618e-05,6.518348048230985e-13,6.434948888296268e-13,2.4134086711660923e-14,2.3596032084599964e-21,3.0678669441790083e-20,-2.185127487078322e-36,1.0,1.3322676295501878e-14,False,44.36540612144243,-3.486878371230337,47.852284492672766,61.97627931046895,1.423434311924705,5.550322430535969,163.1876660194045,162.14175091787925,0.06588115049835486,5.945963019094368,-90.75000000000001,61.97627931046895,44.365406121442874,-3.486878371229917,47.852284492672794,61.97627931046896,5.550322430535192,1.423434311924642,162.14175091787996,163.18766601940462,0.0658811504983558,5.945963019094366,90.75000000000001,61.97627931046896,44.36540612144265,0.0007979818525787507,0.02930785258707536,0.03010583443965411,8.085275008912735e-07,8.085275008912765e-07,0.9999987063568353
