Ro_nm,Rc_over_Ro,Lc_over_W,rTJ_over_Rc,theta0_deg,mean_curvature0_per_um,design_id,x,free_energy_J,dF_dx_J,minus_dF_dx_J,zeta_J_s,xdot_per_s,flux_closure_relative,r_TJ_nm,r_TJ_over_W,center_curvature_per_um,outer_curvature_per_um,center_theta_deg,outer_theta_deg,sigma_GB_MPa,sigma_kappa_MPa,sigma_TJ_MPa,Gamma_per_contact_s,G_fit_eV,G_root_eV,elapsed_s,cumulative_scaled_hazard,survival,event_probability,hazard_amplification,dlnGamma_dx_site,dlnGamma_dx_barrier,dlnGamma_dx_total
80.0,0.45,8.0,1.0,120.0,-20.0,Ro80_q0.45_L8W_r1.00_th120_km-20,0.05,1.696314977220189e-13,9.101147891319042e-15,-9.101147891319042e-15,1.2518038701476042e-12,-0.00727042638895652,9.938169091405109e-06,34.62369131100843,8.655922827752105,-19.68640326004251,-19.68640326004251,118.04719376264262,118.04719376264262,93.97478591109699,19.68640326004251,74.28838265105446,0.09233740710042292,4.820548858942899,5.800899587221914,nan,nan,nan,nan,0.988095980237192,-0.8119061841156778,0.5484301665394753,-0.26347601757620254
80.0,0.45,8.0,1.0,120.0,-20.0,Ro80_q0.45_L8W_r1.00_th120_km-20,0.1,1.7008977827718256e-13,9.227935747830238e-15,-9.227935747830238e-15,1.2705435095774045e-12,-0.007262982871715697,1.1086217017797345e-05,33.1903600462544,8.297590011563598,-19.25379832101044,-19.25379832101044,115.88840393175931,115.88840393175931,95.86022495049737,19.25379832101044,76.60642662948693,0.09101302787890203,4.816159468067906,5.796510196346921,nan,nan,nan,nan,0.9739238930388668,-0.8846535407953979,0.5641711359125452,-0.32048240488285273
80.0,0.45,8.0,1.0,120.0,-20.0,Ro80_q0.45_L8W_r1.00_th120_km-20,0.15,1.705540622230572e-13,9.34110278735816e-15,-9.34110278735816e-15,1.2906040452454128e-12,-0.007237775847496214,1.2290806222898911e-05,31.692270350986224,7.923067587746555,-18.666453387805532,-18.666453387805532,113.48420482111574,113.48420482111574,97.82240174546847,18.666453387805532,79.15594835766292,0.08942507253566755,4.811651308923369,5.792002037202384,nan,nan,nan,nan,0.956931296639233,-0.9707800722047892,0.5778172472795973,-0.39296282492519197
80.0,0.45,8.0,1.0,120.0,-20.0,Ro80_q0.45_L8W_r1.00_th120_km-20,0.2,1.7102364250980304e-13,9.439567520761356e-15,-9.439567520761356e-15,1.3121665117495825e-12,-0.007193879310465766,1.3561025780557039e-05,30.119760955226727,7.529940238806681,-17.875452415603817,-17.875452415603817,110.78355959584567,110.78355959584567,99.85368188859792,17.875452415603817,81.9782294729941,0.0875059137926848,4.807046705055843,5.787397433334858,nan,nan,nan,nan,0.936394516379463,-1.0648738139940548,0.5900478790381385,-0.4748259349559163
80.0,0.45,8.0,1.0,120.0,-10.0,Ro80_q0.45_L8W_r1.00_th120_km-10,0.0,1.6974931722662717e-13,9.320336772508785e-15,-9.320336772508785e-15,1.2597389850129226e-12,-0.007398625336988499,1.8269318541501394e-05,36.00000000000001,9.0,-10.0,-10.0,119.99999999999999,119.99999999999999,82.16878364870321,10.0,72.16878364870321,0.07993855636304484,4.849436908473336,5.829787636752352,nan,nan,nan,nan,1.0,-0.7498835938871196,0.5425244911882601,-0.2073591026988595
80.0,0.45,8.0,1.0,120.0,-10.0,Ro80_q0.45_L8W_r1.00_th120_km-10,0.01,1.698426475097343e-13,9.345626414934474e-15,-9.345626414934474e-15,1.263376694997323e-12,-0.007397339567795555,1.849122088413384e-05,35.72897983430258,8.932244958575643,-9.926832291461263,-9.926832291461263,119.62432707223414,119.62432707223414,82.50502297687984,9.926832291461263,72.57819068541859,0.07977003762647718,4.8485779417930175,5.828928670072033,nan,nan,nan,nan,0.9978918966737111,-0.7614801871177121,0.5467735890317726,-0.2147065980859395
80.0,0.45,8.0,1.0,120.0,-10.0,Ro80_q0.45_L8W_r1.00_th120_km-10,0.02,1.6993622869798247e-13,9.370483322345972e-15,-9.370483322345972e-15,1.267062866636797e-12,-0.007395436776723105,1.8714057988763423e-05,35.45588808646598,8.863972021616496,-9.850143317397352,-9.850143317397352,119.24145074337343,119.24145074337343,82.84478862662029,9.850143317397352,72.99464530922293,0.07959602561565078,4.8477122738551905,5.828063002134206,nan,nan,nan,nan,0.9957150746400969,-0.7733852544039621,0.5510395930189702,-0.2223456613849919
80.0,0.45,8.0,1.0,120.0,-10.0,Ro80_q0.45_L8W_r1.00_th120_km-10,0.05,1.702184252270155e-13,9.441844971036522e-15,-9.441844971036522e-15,1.2783997153107968e-12,-0.007385675120195938,1.9389062510839295e-05,34.62369131100843,8.655922827752105,-9.597213607997897,-9.597213607997897,118.04719376264262,118.04719376264262,83.88559625905236,9.597213607997897,74.28838265105446,0.07903864530288598,4.845074742544259,5.825425470823275,nan,nan,nan,nan,0.9887424654496904,-0.8119061841156778,0.5639432907283037,-0.2479628933873741
80.0,0.45,8.0,1.0,120.0,-10.0,Ro80_q0.45_L8W_r1.00_th120_km-10,0.1,1.7069327014692887e-13,9.549582525835746e-15,-9.549582525835746e-15,1.298284254956358e-12,-0.007355540583180496,2.0532487086200945e-05,33.1903600462544,8.297590011563598,-9.087417282832776,-9.087417282832776,115.88840393175931,115.88840393175931,85.6938439123197,9.087417282832776,76.60642662948693,0.0779755509975266,4.840542609514238,5.820893337793254,nan,nan,nan,nan,0.9754435724783025,-0.8846535407953979,0.5855010494958606,-0.29915249129953736
80.0,0.45,8.0,1.0,120.0,-10.0,Ro80_q0.45_L8W_r1.00_th120_km-10,0.15,1.7117314266005208e-13,9.642736934126028e-15,-9.642736934126028e-15,1.31953720697806e-12,-0.007307665811265266,2.170299448251486e-05,31.692270350986224,7.923067587746555,-8.44049043422988,-8.44049043422988,113.48420482111574,113.48420482111574,87.59643879189281,8.44049043422988,79.15594835766292,0.07670920120797148,4.8358407981916285,5.816191526470644,nan,nan,nan,nan,0.9596020330864234,-0.9707800722047892,0.6065840950225265,-0.3641959771822627
80.0,0.45,8.0,1.0,120.0,-10.0,Ro80_q0.45_L8W_r1.00_th120_km-10,0.2,1.7165727666429803e-13,9.719862717510109e-15,-9.719862717510109e-15,1.3423464822568796e-12,-0.007240949222862459,2.289894071731399e-05,30.119760955226727,7.529940238806681,-7.615496700172971,-7.615496700172971,110.78355959584567,110.78355959584567,89.59372617316707,7.615496700172971,81.9782294729941,0.07518680356784022,4.830976164187707,5.811326892466722,nan,nan,nan,nan,0.9405574354680074,-1.0648738139940548,0.6272324435828978,-0.437641370411157
80.0,0.45,8.0,1.0,120.0,-5.0,Ro80_q0.45_L8W_r1.00_th120_km-5,0.0,1.701047283592742e-13,9.478169156892919e-15,-9.478169156892919e-15,1.27409641273768e-12,-0.0074391302433125615,2.2451918316834666e-05,36.00000000000001,9.0,-4.999999999999998,-4.999999999999998,119.99999999999999,119.99999999999999,77.16878364870321,4.999999999999998,72.16878364870321,0.07358960086023848,4.862488142188418,5.842838870467434,nan,nan,nan,nan,1.0,-0.7498835938871196,0.5492034033061373,-0.2006801905809823
80.0,0.45,8.0,1.0,120.0,-5.0,Ro80_q0.45_L8W_r1.00_th120_km-5,0.01,1.701996274083443e-13,9.501529876633168e-15,-9.501529876633168e-15,1.2778491667748876e-12,-0.007435564481067589,2.2674038942159193e-05,35.72897983430258,8.932244958575643,-4.91753865477904,-4.91753865477904,119.62432707223414,119.62432707223414,77.49572934019763,4.91753865477904,72.57819068541859,0.07343954084644197,4.861618277799453,5.841969006078468,nan,nan,nan,nan,0.997960853000392,-0.7614801871177121,0.5539145995953731,-0.207565587522339
80.0,0.45,8.0,1.0,120.0,-5.0,Ro80_q0.45_L8W_r1.00_th120_km-5,0.02,1.7029475738416607e-13,9.524401566982845e-15,-9.524401566982845e-15,1.2816513599714178e-12,-0.0074313513522080215,2.2896846348491967e-05,35.45588808646598,8.863972021616496,-4.831728122497624,-4.831728122497624,119.24145074337343,119.24145074337343,77.82637343172055,4.831728122497624,72.99464530922293,0.07328474070805704,4.860740983376943,5.841091711655959,nan,nan,nan,nan,0.9958572930330138,-0.7733852544039621,0.5586616612509943,-0.21472359315296785
80.0,0.45,8.0,1.0,120.0,-5.0,Ro80_q0.45_L8W_r1.00_th120_km-5,0.05,1.7058147829518864e-13,9.589527934122909e-15,-9.589527934122909e-15,1.2933416694513984e-12,-0.007414535664184186,2.356808364609839e-05,34.62369131100843,8.655922827752105,-4.552618781975587,-4.552618781975587,118.04719376264262,118.04719376264262,78.84100143303004,4.552618781975587,74.28838265105446,0.07278983569660873,4.858063841148394,5.838414569427409,nan,nan,nan,nan,0.9891320899382418,-0.8119061841156778,0.573183770680572,-0.2387224134351058
80.0,0.45,8.0,1.0,120.0,-5.0,Ro80_q0.45_L8W_r1.00_th120_km-5,0.1,1.7106344395361896e-13,9.686636820109567e-15,-9.686636820109567e-15,1.3138347231029135e-12,-0.0073727970876218095,2.4696187373938514e-05,33.1903600462544,8.297590011563598,-4.004226763743943,-4.004226763743943,115.88840393175931,115.88840393175931,80.61065339323086,4.004226763743943,76.60642662948693,0.07184917500908802,4.8534474294790195,5.833798157758035,nan,nan,nan,nan,0.9763495679986649,-0.8846535407953979,0.5979879501054484,-0.28666559068994957
80.0,0.45,8.0,1.0,120.0,-5.0,Ro80_q0.45_L8W_r1.00_th120_km-5,0.15,1.715498865682325e-13,9.768406193440194e-15,-9.768406193440194e-15,1.335723380288777e-12,-0.007313195484628196,2.5835862888038372e-05,31.692270350986224,7.923067587746555,-3.3275089574420487,-3.3275089574420487,113.48420482111574,113.48420482111574,82.48345731510497,3.3275089574420487,79.15594835766292,0.07073282612920005,4.848632965730542,5.828983694009557,nan,nan,nan,nan,0.9611796409051868,-0.9707800722047892,0.6232070615648695,-0.34757301063991974
80.0,0.45,8.0,1.0,120.0,-5.0,Ro80_q0.45_L8W_r1.00_th120_km-5,0.2,1.7204000712254698e-13,9.833517664365272e-15,-9.833517664365272e-15,1.3591995533421902e-12,-0.007234785826838482,2.6982405208102468e-05,30.119760955226727,7.529940238806681,-2.4855188424575485,-2.4855188424575485,110.78355959584567,110.78355959584567,84.46374831545165,2.4855188424575485,81.9782294729941,0.06939479254111995,4.843618823139866,5.823969551418881,nan,nan,nan,nan,0.9429972676834418,-1.0648738139940548,0.6485293219562891,-0.4163444920377657
80.0,0.45,8.0,1.0,120.0,0.0,Ro80_q0.45_L8W_r1.00_th120_km+0,0.0,1.7050715760314366e-13,9.620474265861843e-15,-9.620474265861843e-15,1.2896003964398648e-12,-0.00746004288802997,2.6168921624706487e-05,36.00000000000001,9.0,1.209823513102399e-15,1.209823513102399e-15,119.99999999999999,119.99999999999999,72.16878364870321,-1.209823513102399e-15,72.16878364870321,0.06750534982309413,4.8760980325877235,5.856448760866739,nan,nan,nan,nan,1.0,-0.7498835938871196,0.5568984055651072,-0.1929851883220124
80.0,0.45,8.0,1.0,120.0,0.0,Ro80_q0.45_L8W_r1.00_th120_km+0,0.01,1.7060346907983512e-13,9.641663084922602e-15,-9.641663084922602e-15,1.2934731499263766e-12,-0.007454088309039424,2.6388451119437276e-05,35.72897983430258,8.932244958575643,0.0917549819031847,0.0917549819031847,119.62432707223414,119.62432707223414,72.48643570351541,-0.0917549819031847,72.57819068541859,0.06737304982859309,4.87521563634812,5.855566364627135,nan,nan,nan,nan,0.99804015541216,-0.7614801871177121,0.5621118562025913,-0.19936833091512085
80.0,0.45,8.0,1.0,120.0,0.0,Ro80_q0.45_L8W_r1.00_th120_km+0,0.02,1.7069998991408142e-13,9.662363797244497e-15,-9.662363797244497e-15,1.2973964114979982e-12,-0.007447503100527425,2.660796080138918e-05,35.45588808646598,8.863972021616496,0.18668707240210436,0.18668707240210436,119.24145074337343,119.24145074337343,72.80795823682082,-0.18668707240210436,72.99464530922293,0.06723671716900949,4.874325017969014,5.854675746248029,nan,nan,nan,nan,0.9960205723725805,-0.7733852544039621,0.5673815371214914,-0.2060037172824707
80.0,0.45,8.0,1.0,120.0,0.0,Ro80_q0.45_L8W_r1.00_th120_km+0,0.05,1.7099075173386158e-13,9.720858735820139e-15,-9.720858735820139e-15,1.3094558632096596e-12,-0.007423586398699192,2.7267720645654003e-05,34.62369131100843,8.655922827752105,0.4919760440467199,0.4919760440467199,118.04719376264262,118.04719376264262,73.79640660700775,-0.4919760440467199,74.28838265105446,0.06680176015913669,4.871602765824527,5.851953494103542,nan,nan,nan,nan,0.9895772754929605,-0.8119061841156778,0.583659573935364,-0.22824661018031378
80.0,0.45,8.0,1.0,120.0,0.0,Ro80_q0.45_L8W_r1.00_th120_km+0,0.1,1.714789991160214e-13,9.806442979924201e-15,-9.806442979924201e-15,1.3305855336038522e-12,-0.0073700207406913075,2.8367945000072424e-05,33.1903600462544,8.297590011563598,1.0789637553448883,1.0789637553448883,115.88840393175931,115.88840393175931,75.52746287414205,-1.0789637553448883,76.60642662948693,0.06597820622171754,4.866891374112187,5.847242102391203,nan,nan,nan,nan,0.9773774433377703,-0.8846535407953979,0.611978605640445,-0.2726749351549529
80.0,0.45,8.0,1.0,120.0,0.0,Ro80_q0.45_L8W_r1.00_th120_km+0,0.15,1.7197112919285417e-13,9.87599466866776e-15,-9.87599466866776e-15,1.3531407915970172e-12,-0.00729857139035164,2.9464709641855246e-05,31.692270350986224,7.923067587746555,1.7854725193457799,1.7854725193457799,113.48420482111574,113.48420482111574,77.37047583831715,-1.7854725193457799,79.15594835766292,0.06500485350187435,4.861951243603773,5.842301971882788,nan,nan,nan,nan,0.9629585458371429,-0.9707800722047892,0.6416636215768108,-0.32911645062797845
80.0,0.45,8.0,1.0,120.0,0.0,Ro80_q0.45_L8W_r1.00_th120_km+0,0.2,1.724663069781887e-13,9.928143495156725e-15,-9.928143495156725e-15,1.3773180114604429e-12,-0.007208316026180033,3.054951265115929e-05,30.119760955226727,7.529940238806681,2.6444590152578753,2.6444590152578753,110.78355959584567,110.78355959584567,79.33377045773622,-2.6444590152578753,81.9782294729941,0.06384209912750069,4.856771689134937,5.837122417413952,nan,nan,nan,nan,0.9457339202716019,-1.0648738139940548,0.6720261567509169,-0.39284765724313786
80.0,0.45,8.0,1.0,120.0,5.0,Ro80_q0.45_L8W_r1.00_th120_km+5,0.0,1.7095647637045785e-13,9.74644873735363e-15,-9.74644873735363e-15,1.3063125516742808e-12,-0.007461038879907994,2.932584619898316e-05,36.00000000000001,9.0,5.0,5.0,119.99999999999999,119.99999999999999,67.16878364870321,-5.0,72.16878364870321,0.06168089792120904,4.890328621585234,5.8706793498642496,nan,nan,nan,nan,1.0,-0.7498835938871196,0.5658207100962045,-0.18406288379091507
80.0,0.45,8.0,1.0,120.0,5.0,Ro80_q0.45_L8W_r1.00_th120_km+5,0.01,1.7105403579685026e-13,9.765323717569944e-15,-9.765323717569944e-15,1.3103109108682209e-12,-0.0074526767934027,2.9539535069194402e-05,35.72897983430258,8.932244958575643,5.101048618585409,5.101048618585409,119.62432707223414,119.62432707223414,67.47714206683318,-5.101048618585409,72.57819068541859,0.06156567471157109,4.8894317211820315,5.869782449461047,nan,nan,nan,nan,0.9981319466233268,-0.7614801871177121,0.5715829980356375,-0.18989718908207465
80.0,0.45,8.0,1.0,120.0,5.0,Ro80_q0.45_L8W_r1.00_th120_km+5,0.02,1.7115178139410421e-13,9.783672725723937e-15,-9.783672725723937e-15,1.3143609529578496e-12,-0.007443672686491996,2.975311866704845e-05,35.45588808646598,8.863972021616496,5.2051022673018315,5.2051022673018315,119.24145074337343,119.24145074337343,67.7895430419211,-5.2051022673018315,72.99464530922293,0.06144708163012202,4.888525733067334,5.86887646134635,nan,nan,nan,nan,0.9962092592850108,-0.7733852544039621,0.5774234766742552,-0.1959617777297069
80.0,0.45,8.0,1.0,120.0,5.0,Ro80_q0.45_L8W_r1.00_th120_km+5,0.05,1.7144607594626905e-13,9.835051699696694e-15,-9.835051699696694e-15,1.326807317635233e-12,-0.007412569684365093,3.0391420759800348e-05,34.62369131100843,8.655922827752105,5.536570870069027,5.536570870069027,118.04719376264262,118.04719376264262,68.75181178098545,-5.536570870069027,74.28838265105446,0.0610696014155605,4.8857517626784865,5.866102490957502,nan,nan,nan,nan,0.9900893708384497,-0.8119061841156778,0.5956165132905085,-0.21628967082516937
80.0,0.45,8.0,1.0,120.0,5.0,Ro80_q0.45_L8W_r1.00_th120_km+5,0.1,1.7193972391079114e-13,9.90821132522126e-15,-9.90821132522126e-15,1.3486055249290891e-12,-0.007347004844683727,3.144626786646968e-05,33.1903600462544,8.297590011563598,6.16215427443372,6.16215427443372,115.88840393175931,115.88840393175931,70.44427235505322,-6.16215427443372,76.60642662948693,0.060357946044542685,4.880932602036476,5.861283330315492,nan,nan,nan,nan,0.9785516761063322,-0.8846535407953979,0.6277598189374771,-0.2568937218579208
80.0,0.45,8.0,1.0,120.0,5.0,Ro80_q0.45_L8W_r1.00_th120_km+5,0.15,1.7243661495958208e-13,9.964572076969127e-15,-9.964572076969127e-15,1.3718625738253553e-12,-0.007263535187189723,3.2482846959210385e-05,31.692270350986224,7.923067587746555,6.898453996133608,6.898453996133608,113.48420482111574,113.48420482111574,72.25749436152931,-6.898453996133608,79.15594835766292,0.05952074149416118,4.875851354746037,5.856202083025052,nan,nan,nan,nan,0.9649785184741111,-0.9707800722047892,0.6622891436132363,-0.3084909285915529
80.0,0.45,8.0,1.0,120.0,5.0,Ro80_q0.45_L8W_r1.00_th120_km+5,0.2,1.7293587434679577e-13,1.0002591994437927e-14,-1.0002591994437927e-14,1.3967798430934255e-12,-0.007161180084246741,3.348893371753719e-05,30.119760955226727,7.529940238806681,7.774436872973299,7.774436872973299,110.78355959584567,110.78355959584567,74.2037926000208,-7.774436872973299,81.9782294729941,0.058524385412543706,4.870487631693996,5.850838359973011,nan,nan,nan,nan,0.9488251206605739,-1.0648738139940548,0.698111290370548,-0.3667625236235068
80.0,0.45,8.0,1.0,140.0,-30.0,Ro80_q0.45_L8W_r1.00_th140_km-30,0.0,1.7040007744551294e-13,9.39227181579562e-15,-9.39227181579562e-15,1.2762753600640626e-12,-0.007359126493928532,7.173514925883948e-06,36.00000000000001,9.0,-29.999999999999993,-30.000000000000007,140.0,140.0,108.30771839882567,30.0,78.30771839882567,0.1176259678897788,4.788521131139784,5.768871859418799,nan,nan,nan,nan,1.0,-0.7498835938871196,0.8371292499100491,0.08724565602292955
80.0,0.45,8.0,1.0,140.0,-30.0,Ro80_q0.45_L8W_r1.00_th140_km-30,0.01,1.704940994618211e-13,9.41201834216178e-15,-9.41201834216178e-15,1.2801125244270166e-12,-0.007352492974298987,7.303796805088101e-06,35.72897983430258,8.932244958575643,-30.10024569058693,-30.100245690586938,139.72088378330272,139.72088378330272,108.93177936833575,30.100245690586934,78.83153367774881,0.11772831934814965,4.787192173535986,5.767542901815001,nan,nan,nan,nan,1.000870143389313,-0.7614801871177121,0.8481875378993209,0.08670735078160874
80.0,0.45,8.0,1.0,140.0,-30.0,Ro80_q0.45_L8W_r1.00_th140_km-30,0.02,1.7058831630850513e-13,9.431208117006381e-15,-9.431208117006381e-15,1.2840009740503814e-12,-0.007345172089126718,7.436322704561176e-06,35.45588808646598,8.863972021616496,-30.200459900873383,-30.200459900873394,139.43583315735674,139.43583315735674,109.56646317684893,30.20045990087339,79.36600327597553,0.11783012557951701,4.78584577589241,5.766196504171425,nan,nan,nan,nan,1.0017356515181197,-0.7733852544039621,0.8594627873529248,0.0860775329489627
80.0,0.45,8.0,1.0,140.0,-30.0,Ro80_q0.45_L8W_r1.00_th140_km-30,0.05,1.7087207193889356e-13,9.484843267246983e-15,-9.484843267246983e-15,1.2959612396940448e-12,-0.0073187707909275115,7.844466494958745e-06,34.62369131100843,8.655922827752105,-30.500145121723367,-30.50014512172338,138.54288291617067,138.54288291617067,111.53723501709827,30.500145121723374,81.0370898953749,0.11813096000533277,4.78169783668067,5.762048564959685,nan,nan,nan,nan,1.0042932026372542,-0.8119061841156778,0.8952051190150883,0.08329893489941043
80.0,0.45,8.0,1.0,140.0,-30.0,Ro80_q0.45_L8W_r1.00_th140_km-30,0.1,1.7134828054023083e-13,9.560575289928229e-15,-9.560575289928229e-15,1.3169456083838924e-12,-0.007259658431649747,8.566325546545475e-06,33.1903600462544,8.297590011563598,-30.990566488751536,-30.990566488751547,136.91365561954888,136.91365561954888,115.06387678676005,30.990566488751544,84.0733102980085,0.1186072248884408,4.7743955019200275,5.754746230199043,nan,nan,nan,nan,1.0083421800157384,-0.8846535407953979,0.9602792604662227,0.07562571967082476
80.0,0.45,8.0,1.0,140.0,-30.0,Ro80_q0.45_L8W_r1.00_th140_km-30,0.15,1.71827817687897e-13,9.617706558094766e-15,-9.617706558094766e-15,1.3393860507741637e-12,-0.007180682934943022,9.359482511759478e-06,31.692270350986224,7.923067587746555,-31.454840706546634,-31.454840706546648,135.07544759701221,135.07544759701221,118.93339139093789,31.45484070654664,87.47855068439125,0.11902772052590695,4.766553260489449,5.746903988768464,nan,nan,nan,nan,1.011917033808739,-0.9707800722047892,1.0332296863368242,0.06244961413203498
80.0,0.45,8.0,1.0,140.0,-30.0,Ro80_q0.45_L8W_r1.00_th140_km-30,0.2,1.7230970174632267e-13,9.654060700467794e-15,-9.654060700467794e-15,1.363487074425411e-12,-0.0070804196692045105,1.0253945586297241e-05,30.119760955226727,7.529940238806681,-31.86661385619112,-31.86661385619113,132.9792565331345,132.9792565331345,123.20079265086082,31.866613856191126,91.3341787946697,0.11935024006698718,4.758100423652729,5.738451151931744,nan,nan,nan,nan,1.0146589414577578,-1.0648738139940548,1.1106623061275513,0.04578849213349656
